智能--它是什么？	Intelligence -- what is it?
它还能利用所获得的所有数据 进行实时分析 帮你打场更精彩的比赛	Augmented reality is also a way to take all that data and use it in real time to enhance how you play the game.
那会变成怎样一种情况呢？	What would that be like?
一个很简单的方法就是 在体育场的每个角都装上摄像机 这样你就能俯视全场 看到场内所有的人	Well, a very simple setup would be a camera on each corner of the stadium looking down, giving you a bird's-eye view of all the people down there.
你还能从头盔传感器 和加速度传感器 获得信息 现在这些技术正处在研发之中	You also have information from helmet sensors and accelerometers, technology that's being worked on right now.
你把获得的信息传给球员	You take all that information, and you stream it to your players.
优秀的球队知道该 如何利用这些数据	The good teams stream it in a way that the players can use.
而糟糕的球队则会面对 信息负荷的问题	The bad ones have information overload.
这就决定了一个球队的好坏	That determines good teams from bad.
那时，球队的信息技术部门 就和负责物色球员的部门一样重要 数据挖掘再也不是电脑呆子才干的事儿	And now, your I.T. department is just as important as your scouting department, and data-mining is not for nerds anymore.
运动员也能去挖掘数据，谁知道呢!	It's also for jocks. Who knew?
那在球场上又是怎样一番场景呢？	What would that look like on the field?
想像自己是个四分卫	Well, imagine you're the quarterback.
你接到发球，然后向后撤	You take the snap and you drop back.
你扫视前场，想要把球 传给一个没人防守的接球员	You're scanning downfield for an open receiver.
突然你的护面左边出现一道闪光 让你意识到 无人防守的线卫正对你闪电突击	All of a sudden, a bright flash on the left side of your visor lets you know, blind side linebacker is blitzing in.
通常情况下你是看不到线卫 但是扩增实境系统告诉了你	Normally, you wouldn't be able to see him, but the augmented reality system lets you know.
你退到口袋区	You step up into the pocket.
又一道闪光提醒你 有个无人防守的接球员	Another flash alerts you to an open receiver.
你扔出球，但在发球的同时 却被从右边来的人撞倒	You throw the ball, but you're hit right as you throw.
球偏离轨迹	The ball comes off track.
你不知道它会落在哪里	You don't know where it's going to land.
不过在接球员的护面上 他看到一小片草地变亮了 他知道要重新调整路线	However, on the receiver's visor, he sees a patch of grass light up, and he knows to readjust.
他跑到那里接到球 然后飞奔去触地	He goes, catches the ball, sprints in, touchdown.
球场沸腾了，球员的每一步 粉丝都可以身临其境去感受到 从每一个角度去体会	Crowd goes wild, and the fans are with him every step of the way, watching from every perspective.
而这就能为比赛带来 无穷的刺激	Now this is something that will create massive excitement in the game.
它吸引无数人去观赛 因为大家想要体会那种感受	It will make tons of people watch, because people want this experience.
粉丝们想要身处球场之中	Fans want to be on the field.
想要变身他们最爱的球员	They want to be their favorite player.
扩增实境将成为运动的一部分 因为它能带来太多的好处和利益	Augmented reality will be a part of sports, because it's too profitable not to.
但我现在想要问你们 难道我们就满足于 这样使用扩增实境吗？	But the question I ask you is, is that's all that we're content to use augmented reality for?
仅仅是为了赚钱 赢得比赛，增强娱乐性？	Are we going to use it solely for our panem, our circenses, our entertainment as normal?
我认为我们可以利用扩增实境 实现更多	Because I believe that we can use augmented reality for something more.
我们能用它 让人们对人类自己 产生更多的同感 让人们真真正正地 体会到 穿着别人的鞋走一英里的感受	I believe we can use augmented reality as a way to foster more empathy within the human species itself, by literally showing someone what it looks like to walk a mile in another person's shoes.
我们都知道这项技术 对于体育联盟的价值	We know what this technology is worth to sports leagues.
它能带来每年数十亿美元的收入	It's worth revenue, to the tune of billions of dollars a year.
这项技术对于 乌干达或俄罗斯的同性恋也有价值 它能让世界上其他人 体会到被迫害的感受	What is this technology worth to a gay Ugandan or Russian trying to show the world what it's like living under persecution?
这项技术对于 指挥官哈德菲尔德或奈尔·德葛拉司·泰森 这样的人也有用 利用扩增实境启发下一代人 让孩子们去更多地思考太空、科学 而不是季刊和卡戴珊	What is this technology worth to a Commander Hadfield or a Neil deGrasse Tyson trying to inspire a generation of children to think more about space and science instead of quarterly reports and Kardashians?
女生们，先生们 扩增实境的时代就要来临	Ladies and gentlemen, augmented reality is coming.
我们提出的问题， 做出的选择 面临的挑战 全都取决于我们自己	The questions we ask, the choices we make, and the challenges we face are, as always, up to us.
谢谢	Thank you.
我在维多利亚的 一个小乡镇长大。	I grew up in a very small country town in Victoria.
我受的教育平凡而普通。	I had a very normal, low-key kind of upbringing.
我上学，跟朋友一起玩， 跟妹妹们吵架。	I went to school, I hung out with my friends, I fought with my younger sisters.
一切都再普通不过了。	It was all very normal.
在我15岁的时候，一名社区的工作人员 找到我的父母， 想要提名我 一个社区成就奖。	And when I was 15, a member of my local community approached my parents and wanted to nominate me for a community achievement award.
我的父母说："嗯，这是件好事儿， 不过有个比较明显的问题。	And my parents said, "Hm, that's really nice, but there's kind of one glaring problem with that.
她从来也没取得什么成就啊。" 他们说的对。	She hasn't actually achieved anything." And they were right, you know.
我上学，成绩还不错。 毕业之后在妈妈的 发型设计沙龙有个很普通的工作， 我还花很多时间看各种肥皂剧， 比如"吸血鬼猎人巴菲"和"恋爱时代"。	I went to school, I got good marks, I had a very low-key after school job in my mum's hairdressing salon, and I spent a lot of time watching "Buffy the Vampire Slayer" and "Dawson's Creek."
没错，是有点矛盾。	Yeah, I know. What a contradiction.
不过他们说得对，	But they were right, you know.
几年以后，我再次回到 一个墨尔本高中的教书， 当我在11年级的一堂法律课上刚讲了大概20分钟时， 一个男孩举手问道： "女士，你什么时候才能开始演讲？"	Years later, I was on my second teaching round in a Melbourne high school, and I was about 20 minutes into a year 11 legal studies class when this boy put up his hand and said, "Hey miss, when are you going to start doing your speech?"
我说："什么演讲？"	And I said, "What speech?"
事实上，我已经就诽谤法 讲了二十多分钟了。	You know, I'd been talking them about defamation law for a good 20 minutes.
然后他说："比方说 励志演说什么的。	And he said, "You know, like, your motivational speaking.
当坐着轮椅的人来到学校， 他们一般都会说一些鼓舞人心的故事，是吧？"	You know, when people in wheelchairs come to school, they usually say, like, inspirational stuff?"
"不过这种演讲一般都是在大报告厅里进行的呀。"	"It's usually in the big hall."
就是在那个时候我开始意识到： 这孩子一直把残障人士当做 一种励志对象。	And that's when it dawned on me: This kid had only ever experienced disabled people as objects of inspiration.
对这个孩子来说，我们并不是什么激励对象， 这也不是他的错， 很多人都有这种想法。	We are not, to this kid -- and it's not his fault, I mean, that's true for many of us.
对很多人来说，残障人士并不是老师， 医生或者美甲师。	For lots of us, disabled people are not our teachers or our doctors or our manicurists.
我们不是真实的人，我们的存在只是为了激励别人。	We're not real people. We are there to inspire.
现在，我在这个讲台上， 坐着轮椅演讲， 你们可能多少也会期待我 能对你们有所激励，对吧？（观众笑声） 我说的没错吧。	And in fact, I am sitting on this stage looking like I do in this wheelchair, and you are probably kind of expecting me to inspire you. Right? Yeah.
不过，女士们先生们，恐怕 我要让你们非常失望了。	Well, ladies and gentlemen, I'm afraid I'm going to disappoint you dramatically.
我在这里不是为了激励你们。	I am not here to inspire you.
我来这儿是想告诉你们 我们对残疾有错误的认识。	I am here to tell you that we have been lied to about disability.
其实，这并不是件坏事， 也不会让你变得多出众。	It's not a bad thing, and it doesn't make you exceptional.
在过去的几年，这个谎言 通过社交媒体 被传的更广了。	And in the past few years, we've been able to propagate this lie even further via social media.
你们可能看过这样的图片： "生活中唯一的残缺就是消极的态度。"	You may have seen images like this one: "The only disability in life is a bad attitude."
或者这个："你的理由不成立。"	Or this one: "Your excuse is invalid." Indeed.
亦或者："不要轻易放弃，继续尝试！"	Or this one: "Before you quit, try!"
这只是其中的几个例子， 这样的图片还有很多。	These are just a couple of examples, but there are a lot of these images out there.
你们还可能看到过这个， 一个没有手臂的小女孩儿 把笔刁在嘴里画画。	You know, you might have seen the one, the little girl with no hands drawing a picture with a pencil held in her mouth.
你们可能也见过一个孩子借助 碳纤维义肢奔跑。	You might have seen a child running on carbon fiber prosthetic legs.
类似这样的图片， 太多了， 我们管这些叫励志情色片。	And these images, there are lots of them out there, they are what we call inspiration porn.
（观众笑声） 我故意用"情色片"这个词的， 因为他们为了另一群人的利益， 而把一群人物化。	And I use the term porn deliberately, because they objectify one group of people for the benefit of another group of people.
现在，我们正在物化残障人士， 以满足非残障人士的利益。	So in this case, we're objectifying disabled people for the benefit of nondisabled people.
这些图片是 想要鼓舞你们，激励你们， 这样我们看到这些残疾人的时候 就会想："哦，我的生活再糟， 也还是有比我更糟的。	The purpose of these images is to inspire you, to motivate you, so that we can look at them and think, "Well, however bad my life is, it could be worse.
还好我不是那个人。"	I could be that person."
但如果你就是那个人呢？	But what if you are that person?
我已经记不清有几次， 有陌生人向我走过来， 想要告诉我他们认为我很勇敢， 很励志， 这还是在我没有 成为公众人物之前的事。	I've lost count of the number of times that I've been approached by strangers wanting to tell me that they think I'm brave or inspirational, and this was long before my work had any kind of public profile.
他们只是因为我早上能够正常起床， 还能记着我自己的名字 而祝贺我。（观众笑声） 这就是物化。	They were just kind of congratulating me for managing to get up in the morning and remember my own name. And it is objectifying.
这些图片 物化了残障人士，好让他们 能够激励非残障人士。	These images, those images objectify disabled people for the benefit of nondisabled people.
他们的存在，就在于能够让你们 庆幸自己过的还不坏， 把担心抛在脑后。	They are there so that you can look at them and think that things aren't so bad for you, to put your worries into perspective.
不过残障人士的生活 的确有些挑战。	And life as a disabled person is actually somewhat difficult.
我们确实需要克服一些困难。	We do overcome some things.
不过我们需要克服的那些事 跟你们想像的不一样。	But the things that we're overcoming are not the things that you think they are.
这些事跟我们身体本身的缺陷没什么关系。	They are not things to do with our bodies.
我刻意使用"残疾人"这个词， 因为我可以接受这种社会普遍认同的残疾， 这让我们认识到，相比较我们身体本身的 缺陷和病症，我们所居住的社会 让我们更觉得自己是残疾人。	I use the term "disabled people" quite deliberately, because I subscribe to what's called the social model of disability, which tells us that we are more disabled by the society that we live in than by our bodies and our diagnoses.
其实我像现在这样已经相当久了。	So I have lived in this body a long time.
感觉还挺不错的。	I'm quite fond of it.
我想做什么都能做， 而且我也知道怎么做那些力所能及的事儿， 就跟你们一样， 图片里的那些孩子也是这样。	It does the things that I need it to do, and I've learned to use it to the best of its capacity just as you have, and that's the thing about those kids in those pictures as well.
他们并没做什么不同寻常的事儿。	They're not doing anything out of the ordinary.
他们只是最大程度的 让自己的身体发挥功能。	They are just using their bodies to the best of their capacity.
那么通过传播这些图片 来物化他们 真的公平吗？	So is it really fair to objectify them in the way that we do, to share those images?
当人们说："你真励志，" 他们以为这是一种赞美。	People, when they say, "You're an inspiration," they mean it as a compliment.
我知道大家为什么这么做。	And I know why it happens.
是因为我们一直以来都被灌输一种错误的思想： 残缺可以让你变得出色。	It's because of the lie, it's because we've been sold this lie that disability makes you exceptional.
我在讲台上否认这种激励作用， 你们就会想："天呐，史黛拉， 难道你就不会受其他事物的激励吗？"	You know, I'm up here bagging out inspiration, and you're thinking, "Jeez, Stella, aren't you inspired sometimes by some things?"
事实是，我会。	And the thing is, I am.
我无时无刻不在从其他残障人士身上学习。	I learn from other disabled people all the time.
不过我学习，并不是我比他们幸运多少。	I'm learning not that I am luckier than them, though.
我学到的是，用烧烤棍 把你掉的东西捡起来 是个相当不错的主意。（观众笑声） 我觉得用电动轮椅的电池给手机充电 也是个绝妙的点子。	I am learning that it's a genius idea to use a pair of barbecue tongs to pick up things that you dropped. I'm learning that nifty trick where you can charge your mobile phone battery from your chair battery.
太有才了！	Genius.
我们互相学习彼此的坚强和隐忍， 不是对抗身体缺陷和疾病的坚强， 而是对抗整个社会区别对待我们， 物化我们的这种风气。	We are learning from each others' strength and endurance, not against our bodies and our diagnoses, but against a world that exceptionalizes and objectifies us.
我真心认为这种针对我们残障人士的谎言 就是最大的不公。	I really think that this lie that we've been sold about disability is the greatest injustice.
这让我们的生活变得很困难。	It makes life hard for us.
还有那句名言："生活中唯一的残疾 就是消极的态度"， 这简直就是胡说八道， 因为事实根本不是这样 这只是社会认同的残疾。	And that quote, "The only disability in life is a bad attitude," the reason that that's bullshit is because it's just not true, because of the social model of disability.
笑的再多也不会让你费力攀爬的楼梯 变成可以通过轮椅的斜坡。	No amount of smiling at a flight of stairs has ever made it turn into a ramp.
这都是不可能的事情。	It's just not going to happen.
我真心期待能活在这样一个世界里， 残疾不再是当成一种特殊， 仅仅是普通现象。	I really want to live in a world where disability is not the exception, but the norm.
一个坐在卧室里 看"吸血鬼猎人巴菲" 的15岁女孩， 不会因为她能正常坐着 就被提名什么成就奖。	I want to live in a world where a 15-year-old girl sitting in her bedroom watching "Buffy the Vampire Slayer" isn't referred to as achieving anything because she's doing it sitting down.
在我期望的社会里， 人们不放低他们对 残障人士的期待， 不会因为他们早上能正常起床， 记得自己的名字 就对他们大加赞赏。	I want to live in a world where we don't have such low expectations of disabled people that we are congratulated for getting out of bed and remembering our own names in the morning.
我期待的社会，人们会认可残障人士 真正的成就， 我期待的社会里， 一个墨尔本高中11岁的孩子 不会因为他的新老师需要轮椅代步 而感到吃惊。	I want to live in a world where we value genuine achievement for disabled people, and I want to live in a world where a kid in year 11 in a Melbourne high school is not one bit surprised that his new teacher is a wheelchair user.
残障不会让你变得出色， 但质疑你原本自以为了解的事物，可以让你进步。	Disability doesn't make you exceptional, but questioning what you think you know about it does.
谢谢大家。	Thank you.
1990 年 11 月 5 日， 一位名叫埃尔·塞伊德·诺塞尔的男子 走入曼哈顿的一间宾馆 刺杀了拉比梅厄‧卡赫纳， 犹太防卫联盟的首领。	On November 5th, 1990, a man named El-Sayyid Nosair walked into a hotel in Manhattan and assassinated Rabbi Meir Kahane, the leader of the Jewish Defense League.
诺塞尔一开始并未被指认参与谋杀， 但当他因小事入狱服刑期间， 他和一些人开始计划袭击 纽约市的一些地标， 包括隧道，犹太教会堂 和联合国总部。	Nosair was initially found not guilty of the murder, but while serving time on lesser charges, he and other men began planning attacks on a dozen New York City landmarks, including tunnels, synagogues and the United Nations headquarters.
谢天谢地，这些计划被 美国联邦调查局的线人挫败了。	Thankfully, those plans were foiled by an FBI informant.
不幸的是，1993 年 世贸中心的那场爆炸袭击却发生了。	Sadly, the 1993 bombing of the World Trade Center was not.
我 1983 年出生在 宾夕法尼亚州的匹兹堡， 我的父亲是一位 埃及裔工程师， 我有个爱我的美国母亲， 她是一名小学老师， 他们尽最大的努力 为给我创造出欢乐的童年。	I was born in Pittsburgh, Pennsylvania in 1983 to him, an Egyptian engineer, and a loving American mother and grade school teacher, who together tried their best to create a happy childhood for me.
直到我 7 岁的时候 家庭氛围开始出现了变化。	It wasn't until I was seven years old that our family dynamic started to change.
我的父亲让我接触伊斯兰的一支 很少人见过，包括大部分的穆斯林， 都没见过的一个派别。	My father exposed me to a side of Islam that few people, including the majority of Muslims, get to see.
然而，所有宗教，所有群体， 你总能看到一小部分人 对他们的信仰太过狂热 以至于认为他们应该用各种方法 让其他人和他们过同样的生活。	However, in every religion, in every population, you'll find a small percentage of people who hold so fervently to their beliefs that they feel they must use any means necessary to make others live as they do.
我们来到凯佛顿射击场， 我们并不知道自己已经 被联邦调查局监视了。	We arrived at Calverton Shooting Range, which unbeknownst to our group was being watched by the FBI.
那天，我射出的最后一颗子弹 打中了目标顶上的橙色亮光， 所有人都惊呆了，尤其是我， 整个目标版燃烧了。	That day, the last bullet I shot hit the small orange light that sat on top of the target and to everyone's surprise, especially mine, the entire target burst into flames.
他们当场开怀大笑起来， 几年后 我才了解他们大笑的原因，	They all seemed to get a really big laugh out of that comment, but it wasn't until a few years later that I fully understood what they thought was so funny.
他们以为我和我的父亲有着 同样的摧毁能力。	They thought they saw in me the same destruction my father was capable of.
这群男人最终被指控 将满载 1500 磅重的 炸弹的厢式货车 停在世界贸易中心北塔的 地下停车场， 爆炸造成 6 人死亡， 同时致使超过 1000 人受伤。	Those men would eventually be convicted of placing a van filled with 1,500 pounds of explosives into the sub-level parking lot of the World Trade Center's North Tower, causing an explosion that killed six people and injured over 1,000 others.
这些是我曾经敬仰的人。	These were the men I looked up to.
这些是我曾经称呼其为 ammu， 意为叔叔的人。	These were the men I called ammu, which means uncle.
当我 19 岁的时候， 我已经搬超过 20 次家了， 童年所经历的不稳定 并未给我 结交朋友的机会。	By the time I turned 19, I had already moved 20 times in my life, and that instability during my childhood didn't really provide an opportunity to make many friends.
每当我感到和附近人相熟时， 就是我要收拾行囊 去下一个地方的时候。	Each time I would begin to feel comfortable around someone, it was time to pack up and move to the next town.
作为永远的班级新生， 我常是同学们欺负的对象。	Being the perpetual new face in class, I was frequently the target of bullies.
所以更多的时候， 我待在家里 看书看电视 或者是打电动。	So for the most part, I spent my time at home reading books and watching TV or playing video games.
正因为这样，我的社交能力有所缺失， 简单地说， 成长在固执的家庭， 我没有准备好应对现实世界。	For those reasons, my social skills were lacking, to say the least, and growing up in a bigoted household, I wasn't prepared for the real world.
我被教育成用武断的方式， 依据人们的脸或宗教， 来评断他人。	I'd been raised to judge people based on arbitrary measurements, like a person's race or religion.
什么让我开了眼界呢？	So what opened my eyes?
某次经历 挑战了我思考的方式 发生于 2000 年美国总统竞选期间。	One of my first experiences that challenged this way of thinking was during the 2000 presidential elections.
在预科期间， 我参与了 在费城举办的全国青年大会。	Through a college prep program, I was able to take part in the National Youth Convention in Philadelphia.
我这组的话题是关于青少年暴力， 作为倍受欺负的受害者， 这个话题我很感兴趣。	My particular group's focus was on youth violence, and having been the victim of bullying for most of my life, this was a subject in which I felt particularly passionate.
组员都有着不同的生活轨迹。	The members of our group came from many different walks of life.
大会临近结束的某天， 我发现我的某个朋友 是犹太人。	One day toward the end of the convention, I found out that one of the kids I had befriended was Jewish.
我也是过了几天 才知晓这件事情， 我认识到，我们之间 并没有与生俱来的仇恨。	Now, it had taken several days for this detail to come to light, and I realized that there was no natural animosity between the two of us.
我见识到有着不同信仰， 来自不同文化的人们， 这样的经验 对我的人格发展 是至关重要的。	There, I was exposed to people from all sorts of faiths and cultures, and that experience proved to be fundamental to the development of my character.
因为这样的感受，我能够 用真实生活和交际经历来 抵挡从孩童时期就被灌输的成见。	Because of that feeling, I was able to contrast the stereotypes I'd been taught as a child with real life experience and interaction.
我不知道作为同性恋者的感受， 但我熟知那种被 无法掌控的事物所评断的感受。	I don't know what it's like to be gay, but I'm well acquainted with being judged for something that's beyond my control.
接着，有个"每日秀"的节目出现了。	Then there was "The Daily Show."
鼓舞人心之事 往往来自你无法预知的地方， 事实上，一个犹太裔喜剧明星 积极地影响我的世界观， 比我那极端的亲生父亲 多得多。	Inspiration can often come from an unexpected place, and the fact that a Jewish comedian had done more to positively influence my worldview than my own extremist father is not lost on me.
某天，我和母亲谈到 我的世界观正在改变， 她对我说， 我将在生命里 一直带着尊重的心。	One day, I had a conversation with my mother about how my worldview was starting to change, and she said something to me that I will hold dear to my heart for as long as I live.
她用疲倦的眼神看着我， 她受够了 被教条主义侵占的人生， 说到："我不愿憎恨他人了。"	She looked at me with the weary eyes of someone who had experienced enough dogmatism to last a lifetime, and said, "I'm tired of hating people."
瞬间，我意识到，在内心里承受憎恨 需要多么巨大的负能量。	In that instant, I realized how much negative energy it takes to hold that hatred inside of you.
扎克‧伊博黑姆不是我的本名。	Zak Ebrahim is not my real name.
当我的家人决定 和我父亲断绝关系时 我改了这个名字 以开始新的生活。	I changed it when my family decided to end our connection with my father and start a new life.
那么，我为什么要 出现在公众视线前 将自己置于可能的危险境地呢？	So why would I out myself and potentially put myself in danger?
嗯，这很容易解释。	Well, that's simple.
而是选择通过自己的经验 来抵抗恐怖主义， 来反对偏见。	Instead, I choose to use my experience to fight back against terrorism, against the bigotry.
我为了那些恐怖袭击的受害者 以及他们的亲人而这样做， 为了那些被恐怖主义活动所造成的 生命的苦痛和损失而这样做。	I do it for the victims of terrorism and their loved ones, for the terrible pain and loss that terrorism has forced upon their lives.
为了那些遭受恐怖袭击的 受害者，我站出来 反对这些毫无意义的袭击行动， 谴责我父亲的行为。	For the victims of terrorism, I will speak out against these senseless acts and condemn my father's actions.
就是这样简单的原因， 我站在这里证明 暴力不是宗教或种族与生俱来的， 儿子并不需要走上 和父亲相同的道路。	And with that simple fact, I stand here as proof that violence isn't inherent in one's religion or race, and the son does not have to follow the ways of his father.
我不是我的父亲。	I am not my father.
此时此刻 正有一部电影在你脑海中放映。	Right now you have a movie playing inside your head.
这是一部奇妙的多轨道电影。	It's an amazing multi-track movie.
这部围绕着你正看到和听到的电影 拥有三维视觉和环绕立体声， 但这仅仅是个开始。	It has 3D vision and surround sound for what you're seeing and hearing right now, but that's just the start of it.
你的电影有嗅觉、味觉和触觉。	Your movie has smell and taste and touch.
它拥有你的身体所拥有的感觉， 痛苦，饥饿，高潮。	It has a sense of your body, pain, hunger, orgasms.
它拥有情绪， 愤怒和快乐。	It has emotions, anger and happiness.
它拥有记忆，就像你的童年 正在你的面前放映。	It has memories, like scenes from your childhood playing before you.
并且它在你的有意识的思维流中 拥有恒定的旁白。	And it has this constant voiceover narrative in your stream of conscious thinking.
这部电影的核心 是你直接体验这一切。	At the heart of this movie is you experiencing all this directly.
这部电影是你的意识流， 它是一部关于 对思想和世界的体验为主题的影片。	This movie is your stream of consciousness, the subject of experience of the mind and the world.
意识是人类之所以存在 的基本事实之一。	Consciousness is one of the fundamental facts of human existence.
我们每个人都是有意识的。	Each of us is conscious.
我们都有自己的内心电影， 包括你、你、还有你。	We all have our own inner movie, you and you and you.
没有什么是我们能直接了解的。	There's nothing we know about more directly.
至少，我能直接了解我的意识。	At least, I know about my consciousness directly.
我不确定你们是否也能意识到这点。	I can't be certain that you guys are conscious.
意识也是一种让生命值得活下去的东西。	Consciousness also is what makes life worth living.
如果我们没有意识，那么我们生命中的任何事情 都失去了意义和价值。	If we weren't conscious, nothing in our lives would have meaning or value.
同时，意识也是 最宇宙中最神秘的现象。	But at the same time, it's the most mysterious phenomenon in the universe.
为什么我们不只是那种 处理输入 再输出结果 而不会体验任何内心电影的机器人？	Why aren't we just robots who process all this input, produce all that output, without experiencing the inner movie at all?
目前为止，没有人知道这个问题 的答案。	Right now, nobody knows the answers to those questions.
我想说如果要将意识整合 到科学中去，一些激进的想法也许是需要的。	I'm going to suggest that to integrate consciousness into science, some radical ideas may be needed.
有人说意识科学 是不可能存在的。	Some people say a science of consciousness is impossible.
科学，从它的本质上来看，是客观的。	Science, by its nature, is objective.
意识，从它的本质上来看，是主观的。	Consciousness, by its nature, is subjective.
所以，不可能会有意识科学。	So there can never be a science of consciousness.
在20世纪的大部分时间里，这种观点占据统治地位。	For much of the 20th century, that view held sway.
心理学家客观地研究行为举止， 神经科学家客观地研究大脑， 但是没有人哪怕是提到意识。	Psychologists studied behavior objectively, neuroscientists studied the brain objectively, and nobody even mentioned consciousness.
即使30年前，当TED刚开始时， 也很少见到关于意识方面 的科学研究。	Even 30 years ago, when TED got started, there was very little scientific work on consciousness.
大约在20年前， 所有这些都开始改变了。	Now, about 20 years ago, all that began to change.
像弗朗西斯·克里克这样的神经科学家 以及像罗杰·彭罗斯这样的物理学家 都说现在正是科学向意识方面进攻 的时候。	Neuroscientists like Francis Crick and physicists like Roger Penrose said now is the time for science to attack consciousness.
从那以来， 关于意识方面的科学研究 遍地开花。	And since then, there's been a real explosion, a flowering of scientific work on consciousness.
这项研究很奇妙，很了不起。	And this work has been wonderful. It's been great.
但是迄今为止它也还有一些 根本的局限性。	But it also has some fundamental limitations so far.
我们看了南希·坎维舍 做的一些这方面的研究以及几分钟之前 她刚刚提交的精彩工作。	We saw some of this kind of work from Nancy Kanwisher and the wonderful work she presented just a few minutes ago.
现在我们有了更好的理解，例如， 不同的大脑区域对应着不同 的意识体验：人脸识别 或者感受痛苦 或者感受快乐。	Now we understand much better, for example, the kinds of brain areas that go along with the conscious experience of seeing faces or of feeling pain or of feeling happy.
但这仍然是关于相关性的科学。	But this is still a science of correlations.
这不是意识科学。	It's not a science of explanations.
我们知道这些大脑区域 对应着特定的意识体验， 但是我们不知道为什么会这样。	We know that these brain areas go along with certain kinds of conscious experience, but we don't know why they do.
我想说的是， 神经科学方面的这种研究 正回答着那些 我们想要回答的关于意识、 关于某些特定大脑区域做些什么 以及对应哪种的问题。	I like to put this by saying that this kind of work from neuroscience is answering some of the questions we want answered about consciousness, the questions about what certain brain areas do and what they correlate with.
但是从某种意义上来说，这些都是简单的问题。	But in a certain sense, those are the easy problems.
都不是神经科学家想要研究的。	No knock on the neuroscientists.
没有真正的关于意识的简单问题。	There are no truly easy problems with consciousness.
它没能解开关于这个课题的核心 的真正谜团： 为什么大脑中所有的物理过程 必须伴随着意识？	But it doesn't address the real mystery at the core of this subject: why is it that all that physical processing in a brain should be accompanied by consciousness at all?
为什么会有这种内心的主观电影的存在？	Why is there this inner subjective movie?
目前为止，我们对此还没有一点头绪。	Right now, we don't really have a bead on that.
也许你会说， 让我们再给神经科学几年时间。	And you might say, let's just give neuroscience a few years.
它会被证明是另一种涌现现象， 就像塞车、就像飓风、 就像生命一样，并且我们会弄明白它。	It'll turn out to be another emergent phenomenon like traffic jams, like hurricanes, like life, and we'll figure it out.
所有涌现现象的经典案例 都是应急行为的表现， 塞车是如何行成的， 飓风是如何作用的， 生物体是如何繁殖、 适应环境和新陈代谢的， 所有这些问题都是关于客观机能的。	The classical cases of emergence are all cases of emergent behavior, how a traffic jam behaves, how a hurricane functions, how a living organism reproduces and adapts and metabolizes, all questions about objective functioning.
你可以把它应用到人类的大脑上 去解释为什么人类大脑的某些行为 和功能 跟涌现现象很像： 我们如何走路，如何谈话，如何下象棋， 所有这些问题都是关于行为的。	You could apply that to the human brain in explaining some of the behaviors and the functions of the human brain as emergent phenomena: how we walk, how we talk, how we play chess, all these questions about behavior.
但是当谈到意识时， 关于行为的问题 只是一个简单的问题。	But when it comes to consciousness, questions about behavior are among the easy problems.
当涉及到困难问题时， 问题就变成了为什么 所有的这些行为 都伴随着主观体验。	When it comes to the hard problem, that's the question of why is it that all this behavior is accompanied by subjective experience?
对此，涌现现象 的标准范例， 甚至神经科学的标准范例， 到目前为止都没有太多可以说的。	And here, the standard paradigm of emergence, even the standard paradigms of neuroscience, don't really, so far, have that much to say.
现在，我本质上是一个科学唯物主义者。	Now, I'm a scientific materialist at heart.
我希望某种关于意识的科学理论 能够奏效， 在过去很长一段时间里， 我埋头苦干， 努力寻找一种有效的 单从物理的角度去解释的 关于意识的理论。	I want a scientific theory of consciousness that works, and for a long time, I banged my head against the wall looking for a theory of consciousness in purely physical terms that would work.
但我最终得出一个结论， 那就是它不起作用只是因为系统性的原因。	But I eventually came to the conclusion that that just didn't work for systematic reasons.
因此我想我们进入了僵局。	So I think we're at a kind of impasse here.
我们已经有了一套美妙的、伟大的解释链， 我们已经习惯了它，那就是用用物理解释化学， 用化学解释生物， 用生物解释部分心理学。	We've got this wonderful, great chain of explanation, we're used to it, where physics explains chemistry, chemistry explains biology, biology explains parts of psychology.
但是意识 似乎并不符合这种情形。	But consciousness doesn't seem to fit into this picture.
一方面，它是一个已知数 即我们是有意识的。	On the one hand, it's a datum that we're conscious.
另一方面，我们却并不知道 如何使它与我们的科学的世界观相适应。	On the other hand, we don't know how to accommodate it into our scientific view of the world.
所以我认为就目前而言意识 是一种反常事物， 是一种需要我们将它整合到 我们的世界观中，而我们却还不知道如何整合的事物。	So I think consciousness right now is a kind of anomaly, one that we need to integrate into our view of the world, but we don't yet see how.
面对这样的反常事物， 我们可能需要一些激进的想法， 并且我认为我们可能需要一两个 在我们可以科学地 面对意识之前 看起来很疯狂的想法。	Faced with an anomaly like this, radical ideas may be needed, and I think that we may need one or two ideas that initially seem crazy before we can come to grips with consciousness scientifically.
现在，对于这些疯狂的想法可能是什么 已经有了一些候选项。	Now, there are a few candidates for what those crazy ideas might be.
我的朋友丹·丹尼特就有一个这样的想法，他今天也在这里。	My friend Dan Dennett, who's here today, has one.
他的疯狂想法是关于意识 的困难问题并不存在。	His crazy idea is that there is no hard problem of consciousness.
整个内心主观电影的想法 涉及一种幻觉或困惑。	The whole idea of the inner subjective movie involves a kind of illusion or confusion.
事实上，我们现在要做的就是解释 客观功能和大脑行为， 然后自然地我们就解释了 所有需要被解释的。	Actually, all we've got to do is explain the objective functions, the behaviors of the brain, and then we've explained everything that needs to be explained.
