Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
For the water babies, the reimagined swimming pool deck boasts the style of a Caribbean resort, with the fun of a waterpark.	水が好きな人たちには、カリビアンリゾート風でウォーターパークのように楽しめるよう再考されたスイミングプールデッキが用意されている。
Island-style hammocks and daybeds surround the pool ideal for relaxing in the sun, meanwhile two updated waterslides are on hand for the thrill-seekers onboard.	プールサイドにはアイランドスタイルのハンモックや長椅子があり、日向ぼっこには最適、また、船上でスリルを楽しみたい人は最新のウォータースライダー２台も利用できる。
Appealing to all ages, the cruise liner boasts a number of activities to pass the time between destinations.	あらゆる年代層に魅力的なこのクルーズ客船は、寄港地までの時間を過ごすたくさんのアクティビティを用意している。
For the little ones, the kid's Adventure Ocean gives smaller members of the family an opportunity to make some memories, meanwhile an exclusive teen hangout offers a cool games and music area specifically designed for over 12s.	子供向けのキッズ・アドベンチャー・オーシャンは、年少の子供達に良い思い出となる機会を与え、ティーン限定の溜まり場には、いけてるゲームや12歳以上用の音楽コーナーがある。
If that's not enough, the whole family can go head to head in a game of glow-in-the-dark laser tag at the ship's "studio B," which impressively doubles as an ice-skating rink.	これでも物足りないというなら、アイススケートリンクにもなる「スタジオB」で暗闇で光るレーザータグゲームの対決を家族全員でできる。
While sailing the Mediterranean seas, guests will also have the chance to explore exotic flavours from around the world, thats a diverse expansion of the restaurants onboard.	多様化された船上レストランでは、地中海を航海中、乗客が世界中の料理を堪能できる機会もある。
Updated Asian cuisine is on offer at the ship's Izumi restaurants, meanwhile a modern take on traditional Italian cuisine will offer the finest food in a casual setting at the brand new Giovanni's Italian Kitchen.	レストランイズミでは最新のアジア料理が楽しめ、今回新登場の伝統的かつモダンなイタリアンレストランのジョバンニズ・イタリアン・キッチンでは、カジュアルな雰囲気で最高級の料理が堪能できる。
Other eateries onboard include Chops Grille American Steakhouse, Boleros Latin Bar, Schooner Bar and Johnny Rockets Express.	そのほかにも、船内には、チョップス・グリル・アメリカン・ステーキハウス、ボレロズ・ラテン・バー、シューナー・バー、ジョニー・ロケッツ・エクスプレスなどの飲食店がある。
With a choice of seven and nine night itineraries, the cruise is due to depart from Rome in May 2020.	クルーズツアーは7泊プランと９泊プランが選択でき 、2020年5月にローマを出港する予定である。
As Royal Caribbean's second European ship, it will join Allure of the Seas which has also recently undergone a jaw-dropping transformation.	エクスプローラーは、最近見違えるように全面改修されたアリュール・オブ・ザ・シーに続く、ロイヤル・カリビアンの２隻めのヨーロッパ船となる。
Following the Allure's 58-day makeover, which totalled a whopping $165million, the cruise operator gave guests who booked early a bonus $300 worth of onboard spending money.	改修費は実に１億6500万ドルに上り、改修期間58日間かけたアリュール船では、早めに予約した客に対し、船内で使える300ドル相当のボーナス特典を提供した。
According to the cruise operator: "Explorer of the Seas is the fourth ship in the Voyager Class to be transformed as part of the cruise line's Royal Amplified fleet modernisation effort."	同クルーズ会社によると、「エクスプローラー・オブ・ザ・シーは、ロイヤル増幅船隊近代化措置の一環で全面改修されたボイジャークラスの４隻目」となる。
An investment of more than $1 billion, across 10 ships in four years, the programme touches every facet of the guest experience and introduces a wide range of thrilling adventures spanning one-of-a-kind attractions and experiential dining and nightlife.	4年間で10隻に10億ドル以上を投資したこのプログラムでは、乗客のあらゆる面での体験に手が届き、ここでしか味わえないようなアトラクション、体験的食事やナイトライフなど、広範囲にわたるスリル満点のアドベンチャーを導入している。
Resolution required for long-distance relationship success rate only 16% Morikawa Tomoyoshi (Nikkei doors) - Yahoo! News	遠距離恋愛は覚悟必要 成功率はわずか16％ 森川友義（日経doors ） - Yahoo!ニュース
Published 9/6 (Fri) 13:51	9/6 (金) 13:51配信
Finally got a boyfriend, but because of his work we are in a long distance relationship.	せっかく彼氏ができたのに、彼の仕事の都合で遠距離恋愛に ... ... 。
He said "Let's get married someday" but I can't see that goal and feel gloomy.	「いつか結婚しよう」と言われたけれどゴールが見えずモヤモヤ ... ... 。
How can I make the best of the situation and lead this to nuptial?	そんなとき、状況を味方につけて結婚につなげるにはどうすればよいのでしょうか？
Nikkei doors editor asked professor Morikawa Tomoyoshi, lecturer on "romance studies" at Waseda University, for solutions.	日経doorsの編集Iが、早稲田大学で「恋愛学」の講義を行う森川友義教授に解決策を聞きました。
This is a must-read as Morikawa professor's advice comes from exhaustive data analysis.	緻密なデータ分析から導き出された森川教授のアドバイス、必読です。
Today's problem	今回のお悩み
I'm wondering if I should continue my relationship with my long distance boyfriend.	遠距離恋愛中の彼氏との交際を続けるべきか悩んでいます。
I would like to continue living in Kansai where my parents' house and my job are, but he works in Tokyo.	私は職場も実家もある関西に住み続けたいのですが、彼の勤務地は東京。
He works for a trading company, so there is a possibility of him being assigned abroad in the future.	商社勤務なので海外転勤の可能性もあります。
He says, "let's get married someday", but I cannot see the goal.	「将来は結婚しよう」と言われていますが、全くゴールが見えません。
What should I do?	どうすればよいでしょうか？
23 years old, manufacturing company, office worker	（23歳、メーカー、事務）
●Long distance couples who end up marrying are only a minority	●遠距離恋愛から結婚に至ったカップルは少数派
Nikkei doors editing section (hereon "--") : Ms. C has been dating her boyfriend for 1.5 years and they are in a long distance relationship.	日経doors編集部（以下 、 ― ― ） Cさんは付き合い始めて1年半の彼氏と遠距離恋愛中です。
There is a saying "distance makes the two of us strong", but does a long distance relationship really work?	「距離に試されて、二人は強くなる」という言葉もありますが、そもそも遠距離恋愛はうまくいくものなのでしょうか？
Professor. Morikawa Tomoyoshi (hereon "Morikawa"): When it comes to long distance relationships, a survey that was conducted by DeNA Travel (August 2017, 1147 people replied) is famous, and according to that data, only 16% of couples in long distance relationships ended up marrying.	森川友義教授（以下、森川） 遠距離恋愛といえばDeNAトラベルが行ったアンケート調査（2017年8月実施、1147人が回答）が有名ですが、そのデータによると、遠距離恋愛から結婚まで至ったカップルはたった16％だそうです。
Love is something that uses five senses, looking at (sight), listening to (hearing), holding hands (touch), inhaling scent (smell) and kissing (taste) are fundamentally what allows for deeper relationship.	恋愛は五感を使って行うものなので、本来は相手を見て（視覚 ） 、 声を聞いて（聴覚 ） 、 手をつなぎ（触覚 ） 、 においを嗅いで（嗅覚 ） 、 キスをすること（味覚）で関係が深まっていきます。
However, in case of long distance relationships, it's mostly just hearing a partner's voice over the phone.	しかし遠距離恋愛の場合、電話で声を聞くケースが大半です。
There is a possibility that continuing the relationship by hearing only is too difficult.	聴覚のみの状況で付き合い続けるのは難しい可能性があります。
Also, there is the issue of cost.	また、コストの問題もあります。
When visiting a partner’s house, transportation cost and travel time are burdensome and take effort; when it should be a day off to refresh oneself, one ends up being exhausted.	相手の家に行くのであれば交通費に移動時間と労力が負担になり、仕事の疲れを癒やすための休日なのに体はクタクタ。
You would feel lonely when you are heading home.	帰り際にはわびしい気持ちになってしまいます。
-- : So if it looks like it's going to be a long distance relationship, the only way is to break-up?	― ― ということは、遠距離になったら別れるしかないのでしょうか？
Morikawa: For couples who can tolerate not seeing each other often, and for those whose separation time is predetermined, it will work out.	森川 頻繁に会わなくても我慢できるカップルや、離れている期間が事前に決まっているカップルなら、うまくいくと思います。
For example, getting engaged after a year or being transferred back after 2 years.	1年後に婚約するとか、2年後に転勤から戻ってくるとか。
In situations where you can't see where you are in the future, it may be difficult.	将来的な着地点が見えていない場合は難しいかもしれません。
Yamada returns as president of Mercari | Shizuoka Newspaper @S	メルカリ社長に山田氏復帰｜静岡新聞アットエス
Mercari announced on the 27th that founder, chairman and CEO Yamada Shintaro (42) would be returning as president, effective the same date.	メルカリは２７日、創業者の山田進太郎会長兼最高経営責任者＝ＣＥＯ＝（４２）が同日付で社長に復帰したと発表した。
The company currently faces the challenges involved with getting its smartphone payments application, Merpay, off the ground, as well as succeeding with its plans in the US market.	スマートフォン決済アプリ「メルペイ」と、米国事業を軌道に乗せることが課題となる。
President Koizumi Fumiaki (39), will take up the reigns as chairman and focus on external activities, such as the management of the affiliated Kashima Antlers J-League football team and the Federation of Economic Organisations.	小泉文明社長（３９）は会長に就任し、傘下に収めたサッカーＪリーグの鹿島アントラーズの経営や経団連といった対外活動に軸足を置く。
Yamada Shintaro is a graduate of Waseda University.	山田 進太郎氏（やまだ・しんたろう）早大卒。
He founded Kouzoh, Inc. (now Mercari, Inc.) in 2013, and became president.	１３年コウゾウ（現メルカリ）を設立し社長。
He held the positions of chairman and CEO since April 2017.	１７年４月から会長兼ＣＥＯ。
Yamada is from Aichi Prefecture.	愛知県出身。
"Ghost in the Shell" "Cowboy Bebop" "Emotion" T shirts with super stylish logos!	「攻殻機動隊 」 「 カウボーイビバップ 」 、 「EMOTION」ロゴも超クールなTシャツに！
A new brand "VIDESTA", a collaboration by video production company, Bandai Namco Arts, with goods manufacturer, producing apparel and miscellaneous items featuring anime motifs.	ビデオメーカーのバンダイナムコアーツとグッズメーカーのコスパがタッグを組み、アニメをモチーフにしたアパレルや雑貨を生み出していく新ブランド「VIDESTA 」 。
From a collection of items featuring scenes from anime as well as designs used for packaging, super stylish t-shirts will be introduced along with pictures in two-part series.	アニメのワンシーンやパッケージに使用されたビジュアルをデザインしたアイテムから、超カッコいいTシャツたちを、前後編に分けて写真と共に一気にご紹介！
(Picture shown) Ghost in the Shell STAND ALONE COMPLEX Volume 7 VC Package pouch and T-shirt	【写真を見る】攻殻機動隊 STAND ALONE COMPLEX 7巻 VCパッケージ ポーチ＆Tシャツ
In the first part, we are picking up the first edition items that are currently on sale.	前編では、まず現在発売中の第1弾アイテムをピックアップ。
Along with the one boldy showing the Moai statue, which is known from the label "EMOTION" that has been around since Bandai Visual was founded in 1983, popular anime from each decade, such as the first original video animation "Dallos", "GHOST IN THE SHELL/Ghost in the Shell", "Cowboy Bebop", "Blue Submarine Number 6" and "Code Geass: Lelouch of the Rebellion" as well as Nagai Go products, will be featured.	1983年のBANDAI VISUAL創立時から続くレーべル「EMOTION」でおなじみのモアイ像のロゴが大胆にあしらわれたものを筆頭に、初のオリジナル・ビデオ・アニメーション「ダロス」から「GHOST IN THE SHELL/攻殻機動隊 」 、 「カウボーイビバップ」に「青の6号 」 、 「コードギアス 反逆のルルーシュ」や永井豪作品など各年代の名作アニメをフィーチャー。
All the items, from items featuring packages of visual and music software such as LDs, videos, CDs. DVDs and Blu-ray to items that are reconstructed, are all designed stylishly, and makes you want to wear right away.	これまで発売されてきたLD、ビデオ、CD、DVD、Blu-rayといった映像・音楽ソフトのパッケージをそのまま活かしたものから、再構築したものまで、どれもデザイン性が高く、すぐに身に着けたくなるようなアイテムばかり。
The items with LD packaging motifs come with a jacket and are great for display!	LDのパッケージをモチーフにしたアイテムにはジャケットも付属しており、そのまま飾ってもよし！
The items based on VHS package illustrations are worthwhile and includes a multipurpose pouch.	ビデオカセットのパッケージをモチーフにしたアイテムには、収納ポーチが付属と充実の内容に。
Many miscellaneous items that are not introduced here, such as pass cases, record bags, and smartphone cases will be sold as well.	またここでは紹介していないが、パスケースやレコードバッグ、スマホケースなどの小物類も多数販売されている。
A pop up store with a collection of such items is currently open at Gee store Nagoya in Aichi for a limited time.	現在、愛知・ジーストア名古屋では、これらの商品を集めたポップアップストアも期間限定で開催中。
In addition to purchasing items, second edition products and videos are being displayed.	商品が購入できるほか、第2弾商品やLDやビデオも展示。
An EMOTION sticker will be given out with a purchase of 3000 yens or more, so please stop by if you happen to be in the area.	さらに3000円以上の購入でEMOTIONのステッカーもプレゼントされるので、ぜひ近くの人は足を運んでみてほしい！
Devin Nunes Accuses Democrats Of Wanting 'Nude Pictures Of Trump'	デビン・ヌネス、「トランプのヌード写真」要求の民主党を非難
Congressman Devin Nunes (R-Calif.) apparently can't "bare" the thought of President Donald Trump being investigated.	デビン・ヌネス議員（カリフォルニア共和党）は、ドナルド・トランプ大統領が捜査されるという考えには辛抱できないようだ。
And in his defense of the president on Thursday, he accused Democrats of trying to obtain nude pictures of the president.	木曜日、大統領を弁護するコメントの中で、大統領のヌード写真入手を試みる民主党を非難した。
Nunes, the ranking Republican on the House Intelligence Committee, made the accusation during his opening statement at the hearing about the whistleblower complaint alleging that Trump sought Ukrainian help in investigating Democratic presidential candidate Joe Biden and his son.	下院情報特別委員会の共和党幹部ヌネス議員は、トランプが民主党の大統領候補ジョー・バイデンおよびその息子に関する捜査を依頼したとする内部告発についての審理の冒頭陳述で申し立てた。
The congressman called the Ukraine scandal a "grotesque spectacle" created by the left and their "media assets" before claiming the Democrats wanted to see photos of the president in the buff:	同議員は、ウクライナ疑惑は左派とその「メディア資産」が作り上げた「グロテスクなショー」だと述べ、大統領の全裸写真を見たいとする民主党を非難した。
"Democrats on this very committee negotiated with people who they thought were Ukrainians in order to obtain nude pictures of Trump," Nunes said.	「まさにこの特別委員会の民主党員が、トランプのヌード写真を入手する目的でウクライナ人と思われる人物らと交渉した。」と語った。
People can reasonably ask why the Democrats are so determined to impeach this president when in just a year, they will have a chance.	なぜ民主党はこの大統領を弾劾しようとそんなに躍起なのか、一年以内にそのチャンスがあるのに、と皆が尋ねるのは当然のことだろう。
After Nunes finished his dressing-down, HuffPost senior political reporter Jennifer Bendery decided to find out if Democratic politicians are trying to get to the, um, bottom of this.	ヌネス議員の叱責が終わると、ハフポストのジェニファー・ベンデリー上級政治担当記者は、民主党議員は真相を探ろうとしているのか見極めることにした。
So far, only Connecticut Rep. Jim Himes (D) has responded, but we suspect his answer is the naked truth for many of his colleagues as well.	これまでに返答したのはコネチカット州民主党のジム・ハイムズ下院議員だけだが、その他の多くの党員にとっても同議員の回答が赤裸々な真実なのかは疑問である。
Mediaite.com suspects Nunes' clothing-optional comments were a reference to "some of the more salacious and unconfirmed details" that supposedly appear in the controversial Steele Dossier.	メディエイト・ドットコムは、ヌネス議員のヌーディストコメントは、議論の的になっているスティール文書に書かれていたとされる「もっとみだらで未確認の詳細部分」に関するものではないかと推測している。
That's the infamous collection of explosive allegations against Trump compiled by former British spy Christopher Steele that mentions the possible existence of a "pee tape," which allegedly shows him watching sex workers engage in "golden showers" in a Moscow hotel room.	それは、元英諜報員のクリストファー・スティール氏がトランプに対する衝撃的な申し立てを収集した悪名高き報告書で、モスクワのホテルの一室で、娼婦たちの放尿を眺めているトランプが映っているとされ、存在が示唆されている「おしっこテープ」に言及している。
Origami, Wallet and real card.	Origami、ウォレットとリアルカード。
Send money, Finance, Insure, Invest (Impress Watch) - Yahoo! News	送金・融資・保険・投資（Impress Watch ） - Yahoo!ニュース
Origami Wallet is an app that allows users to send, deposit, and withdraw money (transfer) through its partnership with financial institutions in addition to payment service through Origami Pay.	Origami Walletは、Origami Payによる支払いに加え、送金や金融機関口座との連携による入出金 (動かす) が可能なアプリ。
Charge feature will be added.	チャージの機能も加わる。
In partnership with companies, they will start providing financial services such as financing (borrow), Investing (grow), and Insuring (prepare).	パートナー企業とともに、融資 (借りる) 、 投資 (殖やす) 、 保険 (備える) などの金融サービスを開始する。
In other words, users can conduct bank features such as pay, transfer, charge, borrow, grow, and prepare with Origami Wallet.	つまり、払う、動かす、チャージする、借りる、殖やす、備えるといった金融機能を、Origami Walletで利用できる。
Masaki Miyuki, Chief Executive Officer of Origami Financial Services, said, "We will create a new type of financial service to offer solutions for the younger generation who are faced with various issues such as public pension benefits and low interest rates," and "we aim to provide service that enriches people's lives equally, for instance, the ones who have little access to finance or receive no benefits through the current system."	Origami Financial Services 代表取締役社長 正木美雪氏は「年金や低金利など、お金に関する様々な問題がある中で生活をしていかなければならない若い世代の課題を解決する、新しい金融サービスを創っていく」とし 、 「 例えば金融とは疎遠だった人、今までの仕組みでは恩恵を受けられなかった人などにも平等に役立ち、豊かになるサービスにしたい」と述べた。
Origami Wallet's advantage is that the process of application to transaction gets completed seamlessly with an Origami ID, and it helps gather information in a timely manner.	Origami Walletの利点は、Origami IDを持っていれば申し込みから取引までシームレスに完了する点と、タイムリーに情報を得られる点を挙げる。
In addition, she explained that the service will be made available through the partnering companies' apps without downloading Origami app.	また、Origamiアプリだけではなく、パートナー企業のアプリ上で展開することで、Origamiアプリを持っていなくても利用可能なサービスにすると説明した。
In regards to financing, a feature that links accounts to allow late payments upon settlement was introduced.	融資に関しては、決済をするときに連動して後払いができる機能を紹介。
Additionally, everything from application to payment will be done online when in urgent need of money.	そのほか急に資金が必要になった際でも、申し込みから返済までOrigamiアプリ上で完結するとした。
Concerning insurance, Aioi Nissei Dowa Insurance Co. and Daiichi Seimei were introduced as their partners.	保険に関しては、パートナー企業としてあいおいニッセイ同和損保と第一生命を紹介。
She explained that the company will offer insurance plans that are designed for different life events by working alongside the two companies to maximize their data and knowledge.	この2社と、双方が持つデータと知見を生かして、ライフイベントに沿った保険商品を展開する予定と話した。
Regarding financial services, they will launch and expand their services after required registrations with administrative agencies.	金融サービスの提供は、必要な行政機関への登録等を経て、順次開始・拡大するとしている。
A new business "Origami Technologies" for effective utilization of data.	■データの効果的な活用のための新規事業「Origami Technologies」
Origami announced on the same day, a new business "Origami Technologies" will be launched to support partner companies to effectively utilize data, including their own, in addition to allowing those companies to digitize customer touch points with the payment service offered by Origami.	Origamiは同日、企業が、Origamiが提供する決済機能による自社のPayにより顧客接点をデジタル化していくこと等に加え、企業の保有するデータも含めてデータの効果的な活用をサポートする新規事業「Origami Technologies」を立ち上げることを発表。
To the partner companies which are linked for payment feature and such, Origami recognizes the future challenges such as gathering structured data such as sales and unstructured real world data as well as accumulation, process, and analysis, and effective utilization of the data.	Origamiと決済機能等の提携をする「Origami Network」パートナー企業において、売上などの構造化されているデータと実社会の構造化されていないデータの取得、そのデータの蓄積・処理・分析など、データの効果的な活用が課題となっていくものと、Origamiは認識。
Origami Technologies will support acquisition and analysis of unstructured data along with structured data from its own payment service as well as data owned by the partner companies.	その中でOrigami Technologiesにおいて、自社のPayによる決済データ、提携企業が保有する構造化されたデータとともに、非構造化データの取得・分析等をサポート。
They will contribute to advancement of creation and change (digital transformation) of a new business model using digital skills and data and effective utilization of data.	効果的なデータ活用と、デジタル技術やデータを活用した新たなビジネス・モデルの創出・変革 (デジタル・トランスフォーメーション) の推進に貢献するとしている。
Yasui Yoshitaka, Origami Chief Executive Officer, explained, "Many companies currently gather various information to create customer touch points," and "the key in the next phase is to expand the business model with data utilization."	Origami 代表取締役社長 康井義貴氏は 、 「 今は多くの企業がいろいろなデータを集めて顧客接点を作っている」とした上で 、 「 次のフェーズでは、データを使ってどのようにビジネスモデルを展開していくかが鍵」と説明。
He said, "We would like to create innovation in the next phase combining the data acquired through Origami network with the data from many companies."	「その中でOrigami Networkで築いたデータと、多くの企業のデータをかけ合わせて次のフェーズのイノベーションを創出したい」と述べた。
Detailed description of service will be announced sequentially.	具体的なサービス内容の詳細は、順次発表する。
Additionally, at Origami Conference 2019, convenient service using flexible technology, such as coupons sent directly to smartphones in case of rain, will be mentioned as Origami's future project.	そのほか、Origami Conference 2019では、Origamiの今後の取り組みについて、例えば雨が降ったらスマホにクーポンを届けるといった、機動性をもったテクノロジーによる利便性の提供などを挙げる。
In regards to reimbursement for unauthorized use, although Origami Pay currently issues full reimbursement, rules will also be included in terms of use for clarification.	また不正利用時の補償について、現在でもOrigami Payでは全額補償を行なっているが、それを利用規約等にて制度として明確化。
Furthermore, they promised to support revitalization of communities by working alongside organizations such as tourism association.	さらに、地域活性化を、観光協会などと協力しながら、サポート役として取り組んでいくことを掲げた。
A memorial event took place on September 7th at Awina Osaka to celebrate the singer Ogasawara Mitsuko , honorary president of the Japan-North Korea Musical Arts Cultural Exchange Society and receiver of the North Korean Friendship Medal First Class, who passed away July of this year, aged 100.	日朝音楽芸術交流会名誉会長で朝鮮の親善勲章1級を受賞し、今年7月に享年100歳で亡くなった歌手の小笠原美都子さんを偲ぶ会が9月7日、大阪市のアウィーナ大阪で行われた。
People connected to Ogasawara performed some of her best-known songs.	関係者たちが小笠原さんの代表曲などを披露した
Fellow citizens such as Pu Yong Ku, committee chairman of the Osaka headquarters of the General Association of Korean Residents in Japan, were in attendance, as well as approximately 140 Japanese officials, including Ikebe Yukie, chairwoman of the Japan-North Korea Musical Arts Cultural Exchange Society.	総聯大阪府本部の夫永旭委員長をはじめとする同胞や、日朝音楽芸術交流会の池辺幸惠会長など日本の関係者ら約140人が参加した。
Chairwoman Ikebe gave a speech at the beginning of the event.	式ではまず、池辺幸惠会長があいさつした。
She spoke of how she still couldn't believe that Ogasawara was dead, and expressed regret for the loss when she mentioned how preparations for the memorial event had keenly reminded her of just how great and wonderful a person Ogasawara was.	池辺会長は「先生が亡くなったことがまだ信じられない」としながら 、 「 『偲ぶ会』の準備をしながら、小笠原美都子先生がどれだけ素晴らしい、偉大な方だったかをひしひしと感じた」とその死を惜しんだ。
She also shared her hopes, saying, "I hope we can do something to expand the society, even if only a little."	その上で「少しでも会を広げていけるような活動ができれば」と決意を述べた。
After a silent prayer was offered, a message was read out from Ogami Kenichi, executive head of the North Korean Musical Arts Cultural Exchange Society and the International Institute of the Juche Idea.	黙とうが捧げられた後、朝鮮の朝鮮芸術交流協会、チュチュ思想国際研究所の尾上健一事務局長から送られてきたメッセ―ジが紹介された。
Potential renewable biofuel research could help lower emissions	再生可能バイオ燃料研究で排ガス減の可能性
While electric cars and Tesla semi-trucks have dominated the headlines in recent years, one thing flies seemingly out of the reach of renewable energy: airplanes.	近年、電気自動車やテスラのトラック、セミがニュースを独占しているとはいえ、空を飛ぶもので唯一、再生可能エネルギーの手が届かないとされるのは飛行機である。
But a professor at the University of Alberta has developed a technology that could allow renewable biofuels to be used as jet fuel.	しかし、アルバータ大学の教授は、再生可能バイオ燃料をジェット燃料として使用可能にする技術を開発した。
Dr. David Bressler is a professor at the University of Alberta in the Faculty of Agricultural, Life & Environmental Sciences who began this project in 2003.	アルバータ農学生命環境科学部の教授デイビッド・ブレスラー博士は、2003年にこのプロジェクトを開始した。
His lab is developing hydrocarbon fuel from lipid wastes like restaurant grease, animal renderings, and canola oil.	教授の研究室は、レストランから出る油脂、畜産レンダリング、キャノーラ油などの脂質廃棄物から炭化水素燃料を開発している。
Unlike ethanol and other biofuels, this technology can use lower quality oils in its production, allowing it to not only release an estimated 85 per cent less carbon emissions than petroleum-based fuels, but also utilizing wastes from other industries in the process.	この技術はエタノールやその他のバイオ燃料とは異なり、生産に低品質の油脂を使用でき、炭素放出量が原油ベース燃料より85％少ない上に、生産過程で他産業の廃棄物を活用できる。
The technology works to mimic the hydrocarbons present in petroleum-based fuels.	この技術は原油ベース燃料に存在する炭化水素の再現にも作用する。
"What our technology did in the first generation," Bressler said. "is [actually make] the hydrocarbons which are the exact molecules in diesel gasoline."	ブレスラー博士は、「第一世代でこの技術が達成（実のところ生成）したのは、ディーゼルガソリン中の分子そのものの炭化水素である」と述べた。
While this presents a new option for biofuel use, previously produced biofuel technologies tend to de-stabilize at lower temperatures, which, for an aircraft travelling at high altitudes, poses a serious problem.	バイオ燃料利用の新たな選択肢となるものの、従来のバイオ燃料技術は低温で不安定化する傾向があり、高い高度を移動する飛行機には深刻な問題を引き起こす。
"The problem with jet fuel is it's a bit of a catch-22," Bressler said.	「ジェット燃料の問題は、どうにもならないジレンマのようなものだ」とブレスラー博士は語った。
It's actually worth less than diesel but it has higher requirements.	ディーゼルほどの価値はないが、それより高い必要条件がある。
Bressler's lab is currently looking at two options for producing jet biofuel.	ブレスラー博士の研究室では、現在、ジェット用バイオ燃料として２つの選択肢に着目している。
The first being a low-risk approach which requires giving their hydrocarbon biofuel another treatment and adding in hydrogen.	一つ目はリスクの低いアプローチで、炭化水素バイオ燃料に別の処理をして水素を加えることが必要とされる。
The second option is to continue work on already partially developed chemistry which would keep the fuel stable, even at lower temperatures.	２つ目のオプションは、すでに部分的に開発した、低温下でも燃料の安定性を保つ化学反応を研究し続けることである。
"We can actually play some games with the chemistry in our reactor to try to change the chemistry a little bit," Bressler said about the second option.	ブレスラー博士は、２つ目のオプションについて、「化学反応が少し変わるように原子炉で試すこともできる」とした。
That one's a higher risk.	このオプションはリスクが高い。
The University of Alberta spin-off company Forge Hydrocarbons is working on commercializing the product as airlines and both the Canadian and American militaries are increasingly investing in the renewable option.	航空会社やカナダおよび米国の陸軍が再生可能オプションへの投資を増やしていることをうけ、アルバータ大学の子会社フォージ・ハイドロカーボンズは製品化に取り組んでいる。
"They can see [a] future where one day somebody might turn around and charge them a carbon tax," he said.	「彼らは、将来的にいつか誰かがふいに炭素税を課すのではないかと予測している」と博士は語った。
They want an alternative in place that is a fallback position.	最悪の場合の代案を用意しておきたいのだ。
Currently, Forge runs a pilot plant near Edmonton's Waste Management Centre and recently acquired a US$4 million investment from Lockheed Martin to support the construction of a $25-million production facility to be located in Sombra, Ontario.	現在、フォージはエドモントンの廃棄物管理センターの近くで試験工場を稼働させており、最近、2500万米ドルの生産施設をオンタリオ州ソンブラに建設する支援としてロッキード・マーティンから400万米ドルの投資をとりつけた。
The facility is expected to produce around 19 million litres of biofuel each year.	工場は年間約1900万リッターのバイオ燃料を生産する予定である。
Bressler also notes while estimates for carbon reductions are around 85 per cent, aspects such as how the fuel is transported and produced are reasons for why carbon reductions aren't higher.	ブレスラー博士は、炭素還元は85％程度だが、燃料の輸送方法や生産方法などの側面が削減率が上がらない理由であるとしている。
"As a technology guy," Bressler said.	「技術屋として」ブレスラー氏は言う。
My job is to create options so there can be an informed decision and multiple choices on which to go with.	私の仕事は、説明を受けた上での決断と並行して複数の選択肢ができるよう、オプションをつくることだ。
Shida's attractions made into a card game, 3rd-year pupils at Shimada Shosei High School solicit online funding for production costs | Shizuoka Newspaper @S	志太の魅力、かるたに 島田樟誠高３年生、ネット上で制作費募る｜静岡新聞アットエス
Fukushima (left) and his classmates engaged in the creation of a local card game, Shimada Shosei High School, Shimada	ご当地かるたの制作に取り組む福島さん（左）ら＝島田市の島田樟誠高
Five 3rd-year pupils from Shimada Shosei High School, Shimada, have been working on the creation of a local card game featuring traditional events and tourist attractions in the Shida area, such as the Shimada Grand Festival and Horai Bridge.	島田市の島田樟誠高の３年生５人が島田大祭や蓬莱橋など志太地域の観光名所や伝統行事を題材にしたご当地かるたの制作に取り組んでいる。
They are raising their production costs through a round of crowdfunding that will last until October 15th, and once the decks are complete, they are considering free distribution to local kindergartens and medical rehabilitation facilities.	１０月１５日までクラウドファンディングで制作費を募っていて、完成後は地元の幼稚園やリハビリ施設に無償で配布することなどを検討している。
The five pupils involved with the project are Fukushima Hiryu (18), Nakamura Taiyo (18), Mizushima Ryu (17), Kato Shoji (17) and Masuda Reiki (17).	取り組んでいるのは福島妃竜さん（１８ ） 、 中村太洋さん（１８ ） 、 水嶋龍さん（１７ ） 、 加藤翔さん（１７ ） 、 増田励哉さん（１７ ） 。
The five of them have been working on the project since December last year, with the desire to "tell lots of people about what makes the area great".	５人は「地域の魅力を多くの人に伝えたい」との思いで昨年１２月から制作に励んできた。
The photos used for the picture cards were either taken on location, or received from the city hall.	絵札に使う写真は現地で撮影したり、市役所から譲り受けたりして収集。
They are near completion, with an accompanying description explaining the history and highlights attached to the back of each picture card.	完成も近く、絵札の裏に歴史や見どころを紹介した説明文も添えた。
Fukushima said, "I want children to enjoy them in particular," and another pupil added, "It could even lead to local people discovering new charms about the area," as their hopes swell near completion.	福島さんは「特に子どもたちに楽しんでもらいたい」と話し、他の生徒も「地元の人でも新たな地域の魅力発見につながるかも」などと完成に期待を膨らませている。
The crowdfunding goal is 300,000 yen, and if they do not reach this amount before the deadline, the pupils plan to refund the whole amount.	クラウドファンディングでの目標金額は３０万円で、期限までに到達しなかった場合は全額返金する予定という。
Search for "Shida Cards" for more information.	詳細は「志太かるた」で検索する。
High school entrance examinations 2020: Hokkaido to abolish the gender section from the application form for public high school entrance examinations (ReseMom) - Yahoo!News	【高校受験2020】北海道公立高校入試、願書の性別欄を廃止（リセマム ） - Yahoo!ニュース
