India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
During Sunday night's episode of HBO's Project Greenlight, the seasoned actor cut Brown off while she was emphasizing the need for alternative perspectives regarding a black protagonist in the project's chosen screenplay.	Während einer Folge von Sunday Night von HBOs Project Greenlight unterbrach der erfahrene Schauspieler Brown, als diese die Notwendigkeit von alternativen Perspektiven betonte und zwar in Bezug auf einen schwarzen Protagonisten im gewählten Drehbuch des Projekts.
"When we're talking about diversity you do it in the casting of the film not in the casting of the show," Damon asserted.	"Wenn wir über Vielfalt reden, dann tun Sie es bei der Besetzung des Films und nicht bei der Besetzung der Show", versicherte Damon.
Shocked, Brown reacted with offended disbelief, letting out "Hoo! Wow. Okay," as The Martian actor's comments settled in the air.	Brown reagierte schockiert, mit beleidigtem Unglauben und rief " Hoo! Wow. Okay", als die Kommentare des Schauspielers von The Martian sich festigten.
Damon and Brown were joined by fellow producers Ben Affleck and the Farrelly brothers to discuss the show's finalists.	Damon und Brown schlossen sich die Produzentenkollegen Ben Affleck und die Farrelly-Brüder an, um über die Show-Finalisten zu diskutieren.
"I would urge people to think about -- whoever the director is, how they're going to treat the character of Harmony," Brown initially said.	"Ich möchte Menschen dazu auffordern, darüber nachzudenken - wer auch immer der Regisseur sein wird - wie sie die Figur der Harmony behandeln", sagte Brown zunächst.
The only black character who's a hooker who gets hit by her white pimp.	Die einzige schwarze Person, und sie ist eine Nutte, die von ihrem weißen Zuhälter geschlagen wird.
The Dear White People producer pushed for finalists Leo Angelos and Kristen Brancaccio for the rights to direct the film; Damon retorted their directing could "end up giving us something we don't want."	Der Produzent von Dear White People setzte sich für die Finalisten Leo Angelos und Kristen Brancaccio für die Regie-Rechte an dem Film ein; Damon erwiderte, dass ihre Regie "am Ende uns etwas geben könnte, was wir nicht wollen."
After the discussion aired, social media exploded in disapproval over Damon's comments.	Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.
Twitter user MrPooni expressed anger toward the clip writing, "Matt Damon speaking over the only black person in the room so he can explain diversity to her is SO WHITE it hurts."	Twitter-Nutzer Mr Pooni drückte seine Wut über den Clip aus, indem er schrieb "Matt Damon spricht über die einzige schwarze Person im Raum, also kann er ihr Vielfalt erklären - das ist SO WEISS, dass es weh tut".
The tweet earned more than 5,000 retweets and 4,000 likes since being posted.	Der Tweet verdiente mehr als 5.000 Retweets und 4.000 Likes seit seiner Veröffentlichung.
Damon's comments come at a time where accurate racial representation in media is at the forefront of social discussion.	Damons Kommentare kommen zu einem Zeitpunkt, an dem genaue rassische Repräsentation in den Medien an der Spitze der gesellschaftlichen Diskussion steht.
After teen Michael Brown was killed by a white police officer in 2014, the Black Lives Matter movement took nationwide effect, urging lawmakers and authorities to halt discriminatory practices against people of color.	Nachdem der Teenager Michael Brown im Jahr 2014 durch einen weißen Polizisten getötet wurde, erzielte die Bewegung Black Lives Matter landesweit Wirkung und drängte Gesetzgeber und Behörden, diskriminierenden Praktiken gegen Farbige Einhalt zu gebieten.
In February, singer Prince alluded to the movement while introducing the nominees of Album of the Year at the Grammy Awards.	Im Februar machte der Sänger Prince eine Anspielung auf die Bewegung während der Einführung der nominierten Alben des Jahres bei den Grammy Awards.
"Albums still matter," he said.	"Albums still matter", (Alben haben immer noch ihre Bedeutung) sagte er.
Like books and black lives, albums still matter.	Wie Bücher und schwarze Leben, haben auch Alben immer noch ihre Bedeutung.
More recently, leaders of the Black Lives Matter movement released a statement in response to Fox News personality Elisabeth Hasselbeck's question of whether the group should be considered a hate group.	In jüngerer Zeit haben Führer der Bewegung Black Lives Matter eine Erklärung veröffentlicht und zwar als Reaktion auf die Frage der Fox-News-Persönlichkeit Elisabeth Hasselbeck, ob die Gruppe als eine Hass-Gruppe angesehen werden sollte.
"The Black Lives Matter Network is a love group," leaders said.	"Das Netzwerk Black Lives Matter ist eine Liebesgruppe", sagten die Führer.
Damon was recently announced as one of a list of entertainers, producers and media moguls invited to visit the Pope to discuss the Catholic Church's portrayal in the West.	Vor kurzem wurde angekündigt, dass Damon sich auf einer Liste von Entertainern, Produzenten und Medienmogule befand, die eingeladen werden, den Papst zu besuchen, um über die Darstellung der katholischen Kirche im Westen zu diskutieren.
Whether he accepted the invitation or has already met with the Pope is unclear.	Ob er die Einladung angenommen hat oder bereits den Papst getroffen hat, ist unklar.
'American Ninja Warrior' crowns first champion	'American Ninja Warrior' krönt ersten Champion
Pro-rock climber and busboy Isaac Caldiero became the first athlete to win American Ninja Warrior Monday night taking home the $1 million grand prize.	Profi-Sportkletterer und Bedienungshilfe Isaac Caldiero wurde der erste Athlet, der den American Ninja Warrior am Montag Abend gewann und den Großen Preis von 1 Million $ mit nach Hause nahm.
The competition show, which just wrapped up its 7th season, has never seen any competitor complete all stages of its obstacle course.	Die Wettbewerb-Show, die gerade ihre 7. Saison abschloss, hatte noch nie einen Wettbewerbs-Teilnehmer erlebt, der alle Stufen seines Hindernis-Parcours abschließen konnte.
During the season finale, two men, Caldiero and cameraman Geoff Britten, made it to the final round.	Während des Saisonfinales schafften es zwei Männer, Caldiero und Kameramann Geoff Britten, bis ins Finale.
The final task involved climbing a 75-foot rope in 30 seconds.	Zur letzten Aufgabe gehörte das Klettern an einem 75 Fuß langen Kletterseil in 30 Sekunden.
Britten went first completing the challenge on time, making him the first-ever athlete to complete American Ninja Warrior's grueling stage 4, however, Caldiero finished the challenge a full three seconds faster making him the winner.	Britten beendete die Aufgabe innerhalb der Zeit, womit er der erste Athlet war, der die anstrengende Phase 4 von American Ninja Warrior vollendete. Jedoch beendete Caldiero diese Herausforderung volle drei Sekunden schneller, was ihn zum Sieger machte.
Caldiero spoke with E!News after the hard-fought victory, still in shock about winning the $1 million grand prize.	Caldiero sprach mit E!Nachrichten nach dem hart erkämpften Sieg, noch immer unter dem Schock über den Gewinn des Großen Preises von 1 Million $.
"I mean it's amazing to think about, like I've never made or lived off more than $10,000 a year," Isaac told E! of his serious pay-bump.	"Ich meine, es ist erstaunlich, darüber nachzudenken, ich habe noch nie mehr als 10.000 $ verdient oder zum Leben gehabt", sagte Isaac E! über seinen Haufen Geld.
So to all of a sudden...like I can't even imagine what it's going to be like...the future is unknown.	So ganz plötzlich .. wie ich kann mir noch nicht einmal vorstellen, wie das ist... die Zukunft ist unbekannt.
Executive producer Kent Weed sat down with The Hollywood Reporter to discuss the finale and why, despite Britten being the first ever competitor to finish the course, won't be awarded any prize money.	Der leitende Produzent Kent Weed setzte sich mit The Hollywood Reporter hin, um das Finale zu diskutieren und warum Britten, obwohl er als erster überhaupt den Parcours beendete, nicht irgendein Preisgeld erhält.
By the rules, the money goes to the fastest person.	Nach den Regeln geht das Geld an die schnellste Person.
"If there's more than one finisher, the one with the fastest time gets it," said Weed.	"Wenn es mehr als einen Finalisten gibt, erhält es derjenige mit der schnellsten Zeit", sagte Weed.
As much as the money is a wonderful prize and life changing, he does get the great gratification.	Wie sehr das Geld ein wunderbarer Preis ist und das Leben verändert, er erhält die großartige Gratifikation.
I don't think he harbors any ill will about it.	Ich glaube nicht, dass er darüber irgendeinen Groll hegt.
He's just so happy to have done what he's done.	Er ist gerade so glücklich getan zu haben, was er getan hat.
He's received tons of accolades from fans.	Massen von Auszeichnungen erhielt er von Fans.
He's such a great guy, and a family man.	Er ist so ein toller Kerl und ein Familienvater.
He's a hero to his kids and his wife.	Er ist ein Held für seine Kinder und seine Frau.
Geoff said to me, "If I was going to be beat by someone, I'm glad it's Isaac."	Geoff sagte zu mir: "Wenn ich von jemand geschlagen werden sollte, dann bin ich froh, dass es Isaac ist."
And I think Isaac would have felt the same way if they roles were reversed.	Und ich denke, dass Isaac genauso gefühlt hätte, wenn sie die Rollen vertauscht hätten.
America Ninja Warrior was renewed for an eighth season, which will begin filming in Spring 2016.	America Ninja Warrior wurde für eine Achte Staffel verlängert, die Dreharbeiten werden im Frühjahr 2016 beginnen.
Detroit Tigers tiptoe past Minnesota Twins	Detroit Tigers schleichen an Minnesota Twins vorbei
MINNEAPOLIS -- The second half the season hasn't been a lot of fun for the Detroit Tigers.	MINNEAPOLIS--Die zweite Hälfte der Saison war für die Detroit Tigers nicht besonders lustig.
Once one of the best teams in baseball, the Tigers are now in last place in the American League Central.	Früher waren sie einmal eines der besten Teams im Baseball, heute stehen die Tigers auf dem letzten Platz in der American League Central.
Reducing to being a spoiler, the Tigers played the part perfectly Tuesday, beating the Minnesota Twins 5-4 at Target Field.	Die Tigers sind auf ihre Rolle als Spoiler reduziert, spielten diesen Part jedoch am Dienstag perfekt gegen die Minnesota Twins mit 5-4 im Target Field.
The Twins squandered a chance to climb to within one-half game of the Houston Astros for the second American League wild-card spot.	Die Twins verschwendeten eine Chance zum Aufstieg innerhalb einer Spielhälfte der Houston Astros für den zweiten American League Wildcard-Platz.
For Detroit, if only for one night, it was a return of the three-letter F-word that has been so elusive over much of the season's second half.	Für Detroit, wenn auch nur für einen Abend, war es eine Rückkehr des drei Buchstaben F-Wortes, das über einen großen Teil der zweiten Hälfte der Saison hinweg so schwer zu fassen war.
"All wins are fun, no matter how it happens," Tigers manager Brad Ausmus said.	"Alle Siege machen Spaß, egal wie es kommt", sagte Tigers Manager Brad Ausmus.
Tigers pitcher Alfredo Simon made his early offensive support hold up, as Detroit scored three times in the first two innings, then tacked one in the sixth and one more in the ninth.	Tiger-Pitcher Alfredo Simon hielt seine frühe offensive Unterstützung aufrecht, als Detroit drei Mal in den ersten beiden Innings punktete, dann einmal im sechsten und dann noch einmal im neunten.
Simon (13-9) pitched 6 1/3 innings and allowed three runs.	Simon (13-9) schlug 6 Mal auf in den 1/3 Innings und ermöglichte drei Runs.
It was only his third quality start in his past nine outings.	Es war erst sein dritter erfolgreicher Start in seinen letzten neun Partien.
"I just want to finish strong this year," Simon said.	"Ich will dieses Jahr stark beenden", sagte Simon.
It's hard for the bullpen to throw every game, and that's why I want to go deep into the game.	Es ist schwer, im Bullpen jedes Spiel zu werfen, und daher will ich ganz konzentriert in das Spiel hineingehen.
Tigers designated hitter Victor Martinez had three hits and drove in two runs, his first RBIs since mid-August.	Der designierte Tiger-Hitter Victor Martinez hatte drei Treffer und war in zwei Runs, seine ersten RBIs seit Mitte August.
It was Martinez's first three-hit night since he had four hits against the Seattle Mariners on July 6.	Es war das erste Dreier-Hit-Spiel von Martinez, seitdem er vier Hits gegen die Seattle Mariners am 6. Juli hatte.
"He swung the bat well," Ausmus said.	"Er hat das Schlagholz gut geschwungen", sagte Ausmus.
He looked good in (batting practice), looked noticeably better in BP, and he carried it right into the game.	Er sah gut aus beim (Schlagtraining), sah deutlich besser aus im Bullpen, und er brachte es direkt ins Spiel.
Trailing by three runs in the bottom of the seventh inning, the Twins had their best chance to get back into the game.	Mit drei Runs im Hintertreffen am Ende des siebten Innings hatten die Twins ihre beste Chance, wieder ins Spiel zu kommen.
Center fielder Byron Buxton led off the inning with a double down the left field line.	Center Fielder Byron Buxton beendete das Inning mit einem Doppel an der linken Feldlinie.
Right fielder Aaron Hicks reached on a bunt single, and Simon got second baseman Brian Dozier to strike out swinging before being lifted for left-hander Blaine Hardy.	Right Fielder Aaron Hicks erreichte einen Bunt, und Simon brachte seinen zweiten Baseman Brian Dozier zum Strikeout, bevor er durch den Linkshänder Blaine Hardy ersetzt wurde.
Hardy walked Mauer, the only man he faced, ahead of rookie designated hitter Miguel Sano, who ripped a two-run single to left off right-hander Drew VerHagen.	Hardy überlief Mauer, den einzigen Mann, mit dem er konfrontiert wurde, vor dem designierten Rookie-Schlagmann Miguel Sano, der dem Rechtshänder Drew Verhagen einen Two-Run entriss.
With a pair of runners on and the tying run at second, VerHagen got third baseman Trevor Plouffe to ground into a double play.	Mit einem Paar von Läufern und dem Abschluss-Run beim zweiten brachte Verhagen den dritten Baseman Trevor Plouffe zu einem Double Play.
It was the major-league-leading 27th time this season that Plouffe hit into a DP.	Es war das in der Major League führende 27. Mal in dieser Saison, dass Plouffe ein Double Play schlug
After Detroit tacked on an insurance run in the top of the ninth, Mauer ripped an RBI double to the gap against Tigers closer Bruce Rondon to make it 5-4.	Nachdem Detroit am Ende des neunten Innings einen Insurance-Run hinzufügte, schaffte Mauer ein RBI-Doppel gegen den Closer der Tigers Bruce Rondon und erzielte den Stand von 5-4.
However, the right-hander struck out Sano on three pitches for his fifth save.	Der Rechtshänder stach jedoch Sano bei drei Pitches für seinen fünften Save aus.
Detroit took advantage of a rusty Phil Hughes in the early going.	Detroit profitierte zum Auftakt des Spiels von einem noch nicht beweglichen Phil Hughes.
The Tigers posted three runs in the first two innings against the veteran right-hander, who came off the disabled list before the game after missing more than a month because of lower back inflammation.	Die Tigers erzielten drei Runs in den ersten beiden Innings gegen den Rechtshänder-Veteran, der vor dem Spiel von der Verletztenliste gestrichen worden war, nachdem er wegen eines Rückenleidens mehr als einen Monat gefehlt hatte.
"Obviously not the start I'd like to have," Hughes said, "but I felt more comfortable as I went along and felt I was able to execute some pretty good pitches there in the third inning."	"Offensichtlich nicht der Beginn, den ich mir gewünscht habe", sagte Hughes, "aber ich fühlte mich wohler, als ich loslegte und spürte, dass ich einige ziemlich gute Pitches da im dritten Inning schaffen würde".
After getting the leadoff batter in the first, Hushes gave up a single to second baseman Ian Kinsler.	Nachdem sie im ersten den Leadoff-Batter erhielten, gab Hushes einen Single an Second Baseman Ian Kinsler ab.
A two-out walk to right fielder J.D. Martinez brought up Victor Martinez, who singled up the middle for the first run of the game.	Ein Two-Out Walk für J.D. Martinez brachte Victor Martinez ins Spiel, der einen Single "up the middle" beim ersten Run des Spiels schaffte.
Victor Martinez snapped his 0-for-21 streak with runners in scoring position.	Victor Martinez schaffte seine 0-21 Erfolgsserie mit den Runnern in der Scoring-Position.
Third baseman Nick Castellanos followed with a single to right, scoring another run, but Victor Martinez was thrown out trying to advance to third, ending the threat.	Der dritte Baseman Nick Castellanos folgte mit einem Single an der rechten Seite, schaffte einen weiteren Run, aber Victor Martinez wurde aus dem Spiel geworfen, als er versuchte, zum dritten zu gelangen, was die Bedrohung beendete.
The Tigers added on in the second, getting a one-out double from catcher James McCann and a two-out single by center fielder Anthony Gose to make it 3-0.	Die Tigers legten im zweiten zu, erzielten ein One-Out Double von Catcher James McCann und einen Two-Out Single von Center-Fielder Anthony Gose zum 3-0.
"That was a big hit," Twins manager Paul Molitor said.	"Das war ein großer Schlag", sagte Twins-Manager Paul Molitor.
He didn't hit it particularly well, but he got it in the right spot.	Er hat nicht besonders gut geschlagen, aber er hat die richtige Stelle erwischt.
Hughes, who was on a pitch count, pitched a scoreless third inning before being replaced by right-handed reliever A.J. Achter.	Hughes befand sich in einem Pitch-Count, erzielte keine Punkte im dritten Inning, bevor er durch den Reliever Rechtshänder A.J.Achter ersetzt wurde.
Hughes was charged with three runs on six hits and a walk with four strikeouts.	Bei Hughes kam es zu drei Runs bei sechs Hits und einem Walk mit vier Strikeouts.
NOTES: Tigers RHP Anibal Sanchez was shut down with a strain in his throwing shoulder.	ANMERKUNGEN: Tigers RHP Anibal Sanchez schied wegen einer Verletzung der Wurfschulter aus.
He will be examined by Dr. James Andrews, who performed surgery on Sanchez's shoulder back in 2007.	Er wird von Dr. James Andrews untersucht, der die Schulter von Sanchez in 2007 operierte.
Sanchez, on the disabled list with a shoulder strain since mid-August, was scheduled to be activated for a Wednesday start.	Sanchez, seit Mitte August auf der Verletztenliste wegen einer Schulterzerrung, soll für den Start am Mittwoch aktiviert werden.
With Sanchez out, LHP Daniel Norris will come off the DL to start against the Twins.	Mit Sanchez aus dem Spiel, wird LHP Daniel Morris von der Verletztenliste gestrichen, um gegen die Twins zu starten.
Norris is 1-1 in four starts with the Tigers since being acquired in a trade for LHP David Price on July 30.	Norris mit 1-1 bei vier Starts mit den Tigers, seitdem er im Austausch mit LHP David Price am 30. Juli erworben wurde
He has been out since Aug. 20 with a strained right oblique.	Er hat seit dem 20. August wegen einer Zerrung im rechten Hüftgelenk gefehlt.
The Tigers and Twins will wrap up their three-game series at Target Field on Wednesday.	Die Tigers und die Twins werden ihre Serie von drei Spielen im Target Field am Mittwoch beenden
Norris (2-2, 4.43 ERA) will oppose Minnesota RHP Ervin Santana (5-4, 4.73 ERA).	Norris (2-2,4.43 ERA) wird gegen Minnesotas RHP Ervin Santana (5-4, 4.73) spielen
Hundreds of refugees to be given accommodation in Wiesbaden	Hunderte Flüchtlinge sollen in Wiesbaden unterkommen
A train carrying hundreds of refugees is on the way to Hesse.	Ein Zug mit Hunderten Flüchtlingen ist auf dem Weg nach Hessen.
They are expected to arrive by Wednesday night.	Seine Ankunft wurde für die Nacht auf Mittwoch erwartet.
The people who have travelled there will then be housed in emergency shelters in Wiesbaden, according to a statement made by the city of Wiesbaden on Tuesday evening.	Die darin angereisten Menschen sollen dann in Notunterkünften in Wiesbaden untergebracht werden, wie die Stadt Wiesbaden am Dienstagabend mitteilten.
They estimate that between 450 and 750 refugees will arrive.	Sie rechnete mit 450 bis 750 ankommenden Flüchtlingen.
A number of sports halls in the Hessian capital have been prepared for this eventuality over the last few days.	Mehrere Sporthallen der hessischen Landeshauptstadt waren in den vergangenen Tagen für diesen Fall vorbereitet worden.
Up to 1000 refugees can be provided with temporary accommodation in these.	Bis zu 1000 Flüchtlinge können dort vorübergehend unterkommen.
After this they should be redistributed to other communities.	Sie sollen dann auf andere Kommunen weiterverteilt werden.
According to a statement by the regional council of Giessen, responsible for their initial reception, 7500 people have arrived in Hesse in the past ten days alone	Alleine in den vergangenen zehn Tagen waren nach Angaben des für die Erstaufnahme zuständigen Regierungspräsidiums Gießen 7500 Menschen in Hessen angekommen.
Due to the large number of refugees, emergency shelter has also been set up in sports halls in Frankfurt and Hanau.	Auch Frankfurt und Hanau haben wegen der großen Zahl von Flüchtlingen Notunterkünfte in Sporthallen eingerichtet.
Ischinger: German military action in Syria an option	Ischinger: Deutsche Militärmaßnahmen in Syrien eine Option
The head of the Munich Security Conference, Wolfgang Ischinger, believes that military action in Syria with participation from Germany is a possibility.	Der Leiter der Münchner Sicherheitskonferenz, Wolfgang Ischinger, hält militärische Maßnahmen mit deutscher Beteiligung in Syrien für eine Möglichkeit.
"I believe that determined consideration about military courses of action should not take place without Germany," he said.	"Ich glaube, das entschiedene Nachdenken über militärische Handlungsoptionen darf nicht ohne Deutschland stattfinden", sagte er.
He accused the European nations of "collectively looking the other way".	Er warf den europäischen Staaten "kollektives Wegschauen" vor.
Four years ago one would have been happy for the chalice of military involvement to pass Germany by.	Vor vier Jahren sei man froh gewesen, dass der Kelch einer militärischen Beteiligung an Deutschland vorbeigegangen ist.
"Now the conflict has come crashing down at our front door," he said on the German World Service.	"Jetzt landet der Konflikt krachend vor unserer Haustür", sagte er im Deutschlandfunk.
The former German Ambassador to Washington also called for a massive increase in international aid locally for the refugees.	Der frühere deutsche Botschafter in Washington forderte außerdem eine massive Aufstockung internationaler Hilfe vor Ort für die Flüchtlinge.
Austria running checks on southern and eastern borders	Österreich kontrolliert an südlichen und östlichen Grenzen
According to Germany, Austria has once more introduced checks to its southern and eastern borders.	Nach Deutschland hat auch Österreich wieder Kontrollen an seinen südlichen und östlichen Grenzen eingeführt.
The Austrian Interior Minister, Johanna Mikl-Leitner, stated on the Austrian television channel ORF on Tuesday evening that currently nobody is being sent back to Hungary.	Die österreichische Innenministerin Johanna Mikl-Leitner erklärte am Dienstagabend im österreichischen Fernsehsender ORF, nach Ungarn werde auch jetzt niemand zurückgeschickt.
Nor has Germany sent any refugees back to Austria.	Auch Deutschland habe keine Flüchtlinge nach Österreich zurückgeschickt.
"No, that is the agreement," she confirmed.	"Nein, das ist so vereinbart", erklärte sie.
On the question of an agreement about whether a specific number of refugees per day can be taken to go to Germany from Austria, Mikl-Leitner said that discussions on this matter have already been held between the general director for public security and representatives of Germany.	Zur Frage nach einer Vereinbarung, nach der Deutschland eine bestimmte Anzahl von Flüchtlinge aus Österreich pro Tag aufnehmen könnte, sagte Mikl-Leitner, es habe bereits diesbezügliche Gespräche zwischen dem Generaldirektor für Öffentliche Sicherheit und Vertretern Deutschlands gegeben.
She gave no specific figures and referred to talks in Berlin on Wednesday.	Konkrete Zahlen nannte sie nicht und verwies auf Gespräche am Mittwoch in Berlin.
Over the last few days tens of thousands of refugees have arrived in Austria from Hungary over the so-called Balkan route.	In den vergangenen Tagen waren Zehntausende Flüchtlinge über die sogenannte Balkanroute aus Ungarn nach Österreich gekommen.
Most of them are heading to Germany.	Ihr Ziel ist meist Deutschland.
German Chancellor Angela Merkel (CDU) and her Austrian colleague, Werner Faymann, together with a number of other EU states and heads of government, are proposing a special summit for next week.	Kanzlerin Angela Merkel (CDU) und ihr österreichischer Kollege Werner Faymann beantragten gemeinsam mit mehreren anderen EU-Staats- und Regierungschefs einen Sondergipfel für nächste Woche.
On Sunday Germany started to impose temporary border controls.	Deutschland hatte am Sonntag mit vorübergehenden Grenzkontrollen begonnen.
To date the EU states have not been able to agree to a common approach to the crisis.	Die EU-Staaten haben sich bislang nicht auf ein gemeinsames Vorgehen in der Krise einigen können.
At a special meeting next Tuesday (22 September) the EU interior ministers want to make a new attempt at a mandatory redistribution of a further 120,000 refugees.	Die EU-Innenminister wollen am kommenden Dienstag (22. September) bei einem Sondertreffen einen neuen Anlauf zur verbindlichen Verteilung von weiteren 120 000 Flüchtlingen nehmen.
In view of the heavy influx of refugees into Germany, the Federal government wants to provide more support to the states with initial reception and distribution of people.	Angesichts des starken Flüchtlingsandrangs in Deutschland will der Bund die Länder bei der Erstaufnahme und Verteilung der Menschen stärker unterstützen.
The Federal government will manage this jointly with the states, announced Merkel late on Tuesday evening after a discussion lasting almost four hours with the Prime Minister in the Chancellor's office in Berlin.	Der Bund werde dies gemeinsam mit den Ländern managen, kündigte Merkel am späten Dienstagabend nach fast vierstündigen Beratungen mit den Ministerpräsidenten im Kanzleramt in Berlin an.
Merkel stressed that those people who need protection will get it.	Merkel unterstrich, diejenigen Menschen, die Schutz bräuchten, bekämen diesen auch.
But those who have no prospects of permanent residency will not be able to stay in Germany.	Wer aber keine Bleibeperspektive habe, könne auch nicht in Deutschland bleiben.
This opinion is also clearly generally shared.	Diese Auffassung sei in der Runde eindrücklich geteilt worden.
The Chancellor stressed that the country as a whole must now make a "huge effort".	Die Kanzlerin betonte, der Staat als Ganzes müsse nun eine "riesige Kraftanstrengung" bewältigen.
Thousands of desperate refugees are currently stuck on the Balkan route.	Tausende verzweifelte Flüchtlinge stecken inzwischen auf der Balkanroute fest.
On Monday night Hungary closed its 175 km long border with Serbia.	Ungarn hatte in der Nacht zum Dienstag seine 175 Kilometer lange Grenze zu Serbien geschlossen.
A few hours later the government in Budapest announced that it was also going to seal off the border with Romania with a fence.	Wenige Stunden darauf kündigte die Regierung in Budapest an, auch die Grenze zu Rumänien mit einem Zaun abzuriegeln.
Unlike Serbia these neighbouring countries belong to the EU.	Dieses Nachbarland gehört anders als Serbien zur EU.
Hungary wants to prevent people smugglers finding alternative routes through Romania, said Hungary's Foreign Minister Peter Szijjarto about the planned new border fences.	Ungarn wolle verhindern, dass sich Schlepper Ausweichrouten über Rumänien suchten, sagte Ungarns Außenminister Peter Szijjarto zu dem geplanten neuen Grenzzaun.
The Romanian government immediately condemned the plan.	Die rumänische Regierung verurteilte den Plan umgehend.
The first arrests of people who had breached the fence have taken place.	Es gab erste Verhaftungen von Menschen, die den Zaun durchschnitten hatten.
In Turkey meanwhile, according to eyewitness reports, thousands more migrants are heading for the Greek borders.	In der Türkei machten sich derweil Augenzeugenberichten zufolge Tausende weitere Migranten auf den Weg zur griechischen Grenze.
"Cassini" space probe finds ocean on Saturn's moon Enceladus	Raumsonde "Cassini" findet Ozean auf Saturnmond Enceladus
Under the icy crust of Saturn's moon Enceladus splashes a global ocean.	Unter dem Eispanzer des Saturnmonds Enceladus schwappt ein globaler Ozean.
Scientists have deduced this from observing the "Cassini" space probe	Das schließen Forscher aus Beobachtungen der Raumsonde "Cassini".
This is the reason the moon wobbles slightly in its orbit of the ringed planet.	Demnach taumelt der Mond leicht auf seiner Bahn um den Ringplaneten.
This wobbling is only minor, but nevertheless too much for a solid celestial body, it was stated on Tuesday in a communication from Cornell University in Ithica in the US state of New York.	Diese Taumelbewegung sei zwar nur klein, aber dennoch zu groß für einen durchgehend festen Himmelskörper, heißt es in einer Mitteilung der Cornell-Universität in Ithaca (US-Staat New York) vom Dienstag.
The scientists have published their findings in the "Icarus" scientific journal.	Die Forscher stellen ihre Analysen im Fachblatt "Icarus" vor.
It has long been known that there must be liquid water under Enceladus's crust of ice.	Schon länger war bekannt, dass es unter der Eisdecke von Enceladus flüssiges Wasser geben muss.
"Cassini" had already discovered ice volcanoes, which spew water vapour and ice particles that feed the so-called E ring of Saturn, at the south pole of this moon in 2006.	So hatte "Cassini" bereits 2006 Eisvulkane am Südpol des Saturnmonds entdeckt, die Wasserdampf und Eispartikel speien und damit den sogenannten E-Ring des Saturn füttern.
Astonomers concluded at the time that there had to be a subsurface sea at least at the south pole.	Zumindest am Südpol müsse es ein unterirdisches Meer geben, schlossen die Astronomen damals.
The extent of the hidden ocean was however not clear.	Die Ausdehnung des verborgenen Ozeans war jedoch nicht geklärt.
Rama absent from 1860 Munich for several weeks	Rama fehlt 1860 München mehrere Wochen
1860 Munich must do without attacking midfielder Valdet Rama for about a month.	Der 1860 München muss rund einen Monat auf Offensivakteur Valdet Rama verzichten.
An examination revealed that the 27-year-old has suffered an adductor injury, the club revealed.	Eine Untersuchung habe eine Adduktorenverletzung bei dem 27-Jährigen ergeben, teilte der Verein mit.
Rama had complained of pain at the beginning of the week.	Rama hatte bereits Anfang der Woche über Schmerzen geklagt.
According to the Munich Lions, the diagnosis means "probably a four week compulsory break".	Laut Münchner Löwen bedeutet die Diagnose "voraussichtlich vier Wochen Zwangspause".
"It's hit us hard. Rama is a bitter loss."	"Das trifft uns schwer, Rama ist ein herber Verlust."
"We have to think about it of course," Sports Director Necat Aygün told the "Bild" newspaper, regarding the possible engagement of a professional who is not attached to a club.	"Natürlich müssen wir jetzt nachdenken", sagte Sportdirektor Necat Aygün der "Bild"-Zeitung mit Blick auf die mögliche Verpflichtung eines vereinslosen Profis.
However the next training guest the sexagenarian is due to present is a defender.	Als Trainingsgast präsentierten die Sechziger allerdings zunächst einen Defensivmann.
Thirty-year-old Hrvoje Cale last played in Belgium and was formerly under contract to VfL Wolfsburg.	Der 30 Jahre alten Hrvoje Cale war zuletzt in Belgien aktiv und stand früher auch schon beim VfL Wolfsburg unter Vertrag.
At the moment the Croatian has "the opportunity to prove himself".	Der Kroate habe derzeit "die Möglichkeit, sein Können unter Beweis zu stellen".
Following his concussion, goal scorer Rubin Okotie is returning to training with the team in the coming week.	Torjäger Rubin Okotie kann nach seiner Gehirnerschütterung kommende Woche wieder ins Mannschaftstraining zurückkehren.
The Austrian international should be getting back to training runs on Thursday.	Schon an Donnerstag soll der österreichische Nationalspieler ins Lauftraining einsteigen.
Okotie sustained a head injury in a violent collision in the match with Fortuna Dusseldorf (0:3).	Okotie hatte sich in der Partie bei Fortuna Düsseldorf (0:3) bei einem heftigen Zusammenprall am Kopf verletzt.
Contrary to initial fears, however, the wound was not serious.	Entgegen ersten Befürchtungen blieb er aber ohne eine schwerwiegende Blessur.
Not a diet fruit – mangoes contain a lot of sugar	Keine Diät-Frucht - Mangos enthalten viel Zucker
Mangoes are exotic, juicy and sweet.	Mangos sind exotisch und saftig-süß.
But anybody watching their waistline should avoid them.	Wer aber auf seine schlanke Linie achten will, dem wird von ihnen oft eher abgeraten.
Because mangoes have a relatively high sugar content – primarily sucrose.	Denn Mangos enthalten relativ viel Zucker - vor allem Saccharose.
