Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Es ist üblich für US Präsidentschaftskandidaten ihre Steuererklärungen zu veröffentlichen, obwohl sie von Gesetzes wegen nicht dazu verpflichtet sind.	It is customary for U.S. presidential candidates to make their tax returns public, although they are not required by law to do so.
Trump, ein New Yorker Geschäftsmann, und seine Anwälte haben als Grund für seine Verweigerung eine Steuerprüfung durch die Steuerbehörden angegeben.	Trump, a New York businessman, and his lawyers have cited an audit by the Internal Revenue Service as a reason for his refusal to release his returns.
"Sie sind am Zug", schrieb Clintons Wahlkampfhelferin Ian Sams auf Twitter, in Bezug auf die Veröffentlichung der Präsidentschaftskandidatin der Demokraten.	"Your move," Clinton campaign aide Ian Sams said on Twitter, linking to the Democratic nominee's returns.
Am Donnerstag sagte Michael Cohen, Trumps Sonderberater, zu CNN, dass er Trump nicht erlauben würden, etwas zu veröffentlichen bevor die Steuerprüfungen nicht abgeschlossen sind.	On Thursday, Trump's special counsel, Michael Cohen, told CNN he would not allow Trump to release them until the audits are complete.
Trumps Kritiker, unter anderem auch der republikanische Präsidentschaftskandidat des Jahres 2012 Mitt Romney, haben bereits verlautbaren lassen, dass seine Weigerung Fragen in Bezug auf Vermögen, seine Spenden für wohltätige Organisationen, sein Geschäftsgebaren und verschiedene andere Verbindungen aufwirft, insbesondere mit Russland.	Trump's critics, including 2012 Republican presidential candidate Mitt Romney and other fellow Republicans, have said his refusal raises questions about his net worth, his charitable contributions, his business dealings and various other ties, including with Russia.
Clinton hat sich bereits auf das Thema gestürzt und am Freitag ein Video im Internet veröffentlicht, in dem hochranginge Republikaner Trump auffordern seine Steuererklärung zu veröffentlichen.	Clinton has pounced on the issue, releasing an online video on Friday highlighting high-profile Republicans urging Trump to release his taxes.
Am Donnerstag sprach sie das Thema auch während einer Rede zur Wirtschaft in Michigan an.	On Thursday, she raised the issue during an economic speech in Michigan.
"Er weigert sich das zu tun, was jeder andere Präsidentschaftskandidat in den letzten Jahrzehnten getan hat und seine Steuererklärungen zu veröffentlichen." sagte sie zu der Menge.	"He refuses to do what every other presidential candidate in decades has done and release his tax returns," she told the crowd.
Politico hat gemeldet, dass Trump während der 1990er für zwei Jahre keine oder nur sehr wenig Steuern gezahlt hat, und ein Wirtschaftsjournalist der New York Times zitierte am Freitag eine Reihe von Steueranwältenn und Steuerberatern, die angaben, dass das immer noch der Fall sein könnte.	Politico has reported that Trump paid zero to very little taxes for two years in the 1990s, and a New York Times business columnist on Friday quoted a number of tax lawyers and accountants saying that could still be the case.
Bundessteuern sind im Wahlkampf zu einem Thema geworden.	Federal tax rates have become an issue in the presidential election.
Clinton unterstützt ein Regelung, die nach dem Milliardär und Investor Warren Buffett benannt ist, die sicherstellen würde, dass Personen die mehr als USD 1 Million verdienen einen Steuersatz von mindestens 30% zahlen.	Clinton has endorsed a rule named after billionaire investor Warren Buffett that would ensure those making more than $1 million a year pay a tax rate of at least 30 percent.
Präsident Obama unterstützt den Vorschlag ebenfalls.	President Barack Obama also backs the proposal.
Während einer Wahlkampfveranstaltung für Hillary Clinton in der vergangenen Woche in Omaha, Nebraska forderte Buffett, dessen Berkshire Hathaway Industriekonglomerat hier seinen Sitz hat, Trump zu einem Treffen auf um deren Steuererklärungen auszutauschen.	At a Clinton rally last week in Omaha, Nebraska, Buffett, whose Berkshire Hathaway conglomerate is based there, challenged Trump to meet and exchange tax returns.
Buffett sagte, er sei ebenso einer Steuerprüfung der IRS unterzogen worden und Trump habe "Angst" vor den Wählern und nicht vor den Steuerbehörden.	Buffet said that he too was under IRS audit and Trump is "afraid" not of the tax-collection agency but of voters.
Clintons Kampagne hat Steuererklärung zurückgehend bis zum Jahr 2007 veröffentlicht.	Clinton's campaign has released tax returns going back to 2007.
Die Clintons, die jetzt in Chappaqua, New York, leben, zahlten im Durchschnitt einen effektiven Bundessteuersatz von ca. 32% zwischen den Jahren 2007 bis 2014 und einen effektiven kombinierten Steuersatz von ca. 40,5%.	The Clintons, who now live in Chappaqua, New York, paid an average effective federal tax rate of about 32 percent from 2007 to 2014 and an effective combined tax rate of approximately 40.5 percent.
Die Steuererklärung der Clintons von 2015 zeigte, dass diese nur USD 100 ihres Einkommens als Lohn bezogen, anders als der Großteil aller Amerikaner.	The Clintons' 2015 return showed that, unlike most Americans, just $100 of their income came from wages.
Ihre hauptsächliche Geldanlage war ein kostengünstiger Indexfonds, aus welchem die Clintons Dividenden und Erträge von USD 109.000 versteuerten.	Their main investment was a low-cost index mutual fund, and the Clintons reported dividend and interest income of $109,000.
Mit Beiträgen von Kevin Drawbaugh; bearbeitet von Jonathan Otis	Additional reporting by Kevin Drawbaugh; Editing by Jonathan Oatis
Kondome mit Chilipuder, Feuerwerkskörper fördern Tanzanias Elefantenschutz	Chilli-powder condoms, firecrackers boost Tanzania elephant protection
Naturschützer in Tansania verwenden eine unorthodoxe Art, um Elefanten davon abzuhalten, in von Menschen bewohnte Siedlungen zu gehen - sie werfen Kondome auf sie, die mit Chilipuder gefüllt sind.	Conservationists in Tanzania are using an unorthodox way of keeping elephants from wandering into human settlements - by throwing condoms filled with chilli powder at them.
Die Methode hat sich als effektiv erwiesen und die Honeyguide Foundation, die bereits vor Jahren die Idee dazu hatte, hat zusammen mit dem US-Naturschutz ihre Förderung intensiviert, indem sie Freiwillige in Dörfern im Norden Tansanias trainiert, eine gewaltlose Vierstufenmethode zum Schutz ihrer Häuser und Ernte zu verwenden ohne dabei Tiere zu verletzen.	The method has proved effective and Honeyguide Foundation, which hit upon the idea several years ago, with U.S.-based Nature Conservancy has stepped up its promotion, training volunteers in villages in north Tanzania to use a non-violent four-step way of protecting their homes and crops without hurting the animals.
Zuvor haben viele Speere verwendet, um sich zu verteidigen.	Previously many used spears to defend themselves.
Freitag ist Weltelefantentag, der dem Tierschutz gewidmet ist.	Friday is World Elephant Day, which is dedicated to the protection of the animals.
"Seitdem wir das ... Toolkit entwickelt haben, konnten wir innerhalb dieser Gemeinden eine Änderung ihrer Einstellung beobachten, wobei sie viel zuversichtlicher sind, dass sie die Elefanten von ihren Feldern abhalten können, ohne den Elefanten dabei zu schaden," äußerte sich der Geschäftsführer von Honeyguide Damian Bell in einer Mitteilung.	"Since we developed the ... toolkit, we have seen an attitude change within these communities whereby they are much more confident that they can keep elephants out of their fields without harming the elephants," Honeyguide executive director Damian Bell said in a statement.
Die ersten beiden Schritte umfassen das Beleuchten des Elefanten mit einer Fackel und das Blasen in ein Horn.	The first two steps involve shining a torch at the trespassing elephant and sounding a horn.
Wenn er nicht abgeschreckt ist, wird eine sogenannten "Chiliwolke" geworfen.	If it is not deterred, a so-called "chilli cloud" is thrown.
Chilipuder gemixt mit Erde wird zusammen mit einem Feuerwerkskörper in ein Kondom zusammengepackt, dessen Ende bis auf die Zündschnur zugedreht wird.	Chilli powder mixed with soil is packed with a firecracker into a condom, its end is twisted shut with just the fuse exposed.
Wenn es angezündet wird, platzt das Kondom mit einem Knall auf und sprüht feinen Staub an Chilipuder in die Luft.	When lit, the condom bursts open with a bang, spraying a fine dust of chilli powder into the air.
Ein Hauch recht in der Regel bereits aus, um den Elefanten zu verjagen.	One whiff is usually enough to send an elephant the other way.
Eine letzte Möglichkeit stellt ein Werfer dar, der ein Goldregenfeuerwerk in die Luft schießt und dabei eine laute, helle Explosion verursacht.	A last resort is a launcher that shoots a Roman candle firework into the air, producing a loud, bright explosion.
Stadtrat beschließt einstimmig: Kein Kioskneubau am St. Goarer Rheinufer	Municipal council reaches unanimous decision: No new kiosk to be built on the St. Goarer bank of the Rhine
Normalerweise nehmen die St. Goarer Investitionsvorhaben von Gewerbetreibenden mit Kusshand an - gilt doch gerade der Einzelhandel in der Kernstadt als deutlich ausbaufähig.	Normally the people of St. Goarer are happy to accept investment from businesses - but retail in the core of the city is clearly capable of developing itself.
Dem Antrag auf den Neubau eines Verkaufskiosks am Rheinufer in unmittelbarer Nähe des im Bau befindlichen Rheinbalkons lehnte der Stadtrat jetzt allerdings einmütig ab.	The municipal has now unanimously rejected the application to build a new retail kiosk on the bank of the river Rhine close to the Rhine balcony currently under construction.
"Grundsätzlich begrüßen wir neue Gewerbetreibende, aber an diesem Standort in exponierter Lage am Rheinufer passt dieser Kiosk nicht hin", erklärte Michael Hubrath für die CDU-Fraktion.	"We are generally happy to welcome new businesses, but this kiosk does not fit in this exposed position on the bank of the Rhine," explained Michael Hubrath on behalf of the CDU faction.
Jüdischer Regisseur zerschlägt Berliner Hotel, weil israelische Vorwahl nach "arabischer" Aufforderung entfernt wurde - RT News	Jewish filmmaker slams Berlin hotel for removing Israel dial code after Arab "request" - RT News
Ein französischer Regisseur mit jüdischen Wurzeln entfesselte einen Medienaufruhr, nachdem er verraten hatte, dass das Kempinski Bristol Hotel in Berlin keine israelische Vorwahl aufgelistet hat, da es arabische Gäste laut einem Mitarbeiter "angefordert hätten".	A French filmmaker of Jewish origin unleashed a media furor after he revealed that the Kempinski Bristol hotel in Berlin does not list Israel's dial code, with employee citing "requests" from Arabic customers.
Claude Lanzmann, Autor der Holocaustdokumentation "Shoah" ließ seinen Ärger im Kempinski Bristol Hotel in Berlin aus, indem er einen offenen Brief an die deutsche Zeitung FAZ schrieb.	Claude Lanzmann, an author of Holocaust documentary "Shoah," vented his frustration at the Kempinski Bristol Hotel in Berlin, writing an open letter in the German outlet FAZ.
Während seines letzten Aufenthalts versuchte Lanzmann Israel auf der Ländervorwahlliste des Hotels zu finden.	During his recent stay, Lanzmann tried to find Israel in the list of dial codes provided by the hotel.
Das Land war allerdings nicht zwischen den Ländern aufgelistet, die direkt aus dem Hotelzimmer angerufen werden können.	The country however was not mentioned among the states one can call directly from the room.
Wie ist es im Jahr 2016 in Berlin, der Hauptstadt des neuen Deutschlands, möglich, dass Israel eliminiert und gelöscht wurde?	How is it possible, in 2016 in Berlin, the capital of the new Germany, that Israel was eliminated and eradicated?
schrieb Lanzmann.	Lanzmann wrote.
Stattdessen bietet das Kempinksi Bristol eine Möglichkeit, Israel über ein eigenes Call Center anzuwählen.	Instead, Kempinski Bristol offers an opportunity to dial Israel via an own call center.
Nach einer Erklärung suchend wandte sich der Regisseur an die Hotelrezeption.	Seeking explanation, the filmmaker addressed the issue at the hotel's reception.
Die Antwort, die er dort erhielt, "schockte ihn", wie Lanzmann schrieb.	The answer he got there, Lanzmann wrote "shocked him."
Der Hotelangestellte sagte, dass die Maßnahme eine "absichtliche Entscheidung des Managements der Kempinski Hotels sei."	The hotel's clerk said that the measure was "a deliberate decision by the management of Kempinski-Hotels."
Der Grund, der dahinter stand, löste im Regisseur noch mehr Wut aus.	The reason behind the move triggered even more outrage by the filmmaker.
"Der Großteil unserer Gäste sind Araber und sie haben verlangt, dass die Vorwahl gelöscht wird," wurde der Angestellte von Lanzmann zitiert.	"The majority of our guests are Arabs and they demanded Israel's code to be deleted," the employee was quoted as saying by Lanzmann.
Der israelische Botschafter in Deutschland Yakov Hadas-Handelsman nannte dies eine "große Schande", berichtet die Süddeutsche Zeitung.	Israeli ambassador to Germany Yakov Hadas-Handelsman called the case a "great shame," Suddeutsche Zeitung reports.
Wir waren von diesem Ereignis entsetzt und bestürzt.	We were appalled and shocked by the incident.
Das ist wirklich sehr beschämend.	It is in itself a great shame.
Die Tatsache, dass sich dies in Deutschland in genau dieser Hotelkette zugetragen hat, ist sogar eine noch größere Schande.	The fact that it has occurred in Germany and at that very hotel chain, is an even greater disgrace.
Das bedarf keiner Erklärung.	That needs no explanation.
Wir erwarten, dass das Hotel "die richtigen Schlussfolgerungen zieht," sagte der Amtsträger.	We expect that the hotel draws the right conclusions," the official said.
Der Vorfall löste eine ziemlich große Resonanz im Internet aus, bei dem die Leute das Ganze einen Skandal nannten.	The incident triggered quite a response online, with people calling it a scandal.
Manche unterstellten dem Kempinski Hotel, dass es den angeblichen Aufforderungen arabischer Gäste "nachgegeben hätte".	Some alleged that the Kempinski hotel simply "caved in" to the alleged demands of Arabic customers.
"Schämt Euch," hieß es in einem anderen Beitrag, in dem darauf hingewiesen wurde, dass das Hotel, das sich am noblen Kurfürstendamm befindet, in der Nähe einer Synagoge steht.	"Shame on you," another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.
Das Hotel wies schnell alle Anschuldigungen von sich und nannte den Vorfall ein "Versehen" und "entschuldigte sich" bei Lanzmann, berichtet Der Spiegel.	The hotel itself was quick to brush off any accusations, calling what happened an "oversight" and "apologizing" to Lanzmann, Der Spiegel reports.
"Es gab nie eine direkte Anweisung", Israel nicht in die Schnellwahlliste aufzunehmen," zitierte die Süddeutsche Zeitung einen Sprecher des Kempinski Hotels.	"There was never a direct order" not to include Israel in the fast dial list," Suddeutsche Zeitung quoted a Kempinski representative as saying.
Es fügt hinzu, dass die Ländervorwahl nun hinzugefügt wurde.	It adds that the code was now added.
Polizei setzt Tränengas & Gummigeschosse gegen protestierende brasilianische Studenten ein	Police use tear gas & rubber bullets against protesting Brazilian students
Studenten stießen am Donnerstag in der brasilianischen Stadt Sao Paulo mit der Polizei zusammen, als sie sich versammelten, um gegen die Reformen der Regierung für das öffentliche Bildungssystem zu demonstrieren.	Students clashed with police in the Brazilian city of Sao Paulo on Thursday as they gathered to demonstrate against government reforms to the public education system.
Die Polizei setzte Tränengas und Gummigeschosse gegen die Demonstranten ein.	Police used tear gas and rubber bullets against the protesters.
Die Schwierigkeiten fingen an, als Polizeibeamte versuchten die Studenten auseinanderzutreiben, was dazu führte, dass die Polizei Gummigeschosse und Tränengas einsetzte.	The trouble started when law enforcement officers tried to disperse the students, which led to the police using rubber bullets and tear gas.
Mehrere hundert Studenten nahmen an den Demonstrationen teil, um ihre Bestürzung über die Pläne auszudrücken.	Several hundred students took part in the demonstration to express their dismay at the plans.
Gemäß der Vorschläge des Gouverneurs des Bundesstaats Sao Paulo Geraldo Alckmin, werden etwas weniger als 100 öffentliche Schulen geschlossen, während 300.000 Studenten umgesetzt werden, um Geld zu sparen.	Under proposals from the governor of the state of Sao Paulo Geraldo Alckmin, just under 100 public schools will be closed, while 300,000 students will be relocated in order to save money.
Einige der Protestteilnehmer sah man Graffitits gegen den vorläufigen Präsidenten Michel Temer an Wände sprühen.	Some of those taking part in the protest could be seen writing graffiti on the walls against the interim President Michel Temer.
Die jüngsten Proteste ereigneten sich einige Tage nachdem Demonstranten in Massen auf die Straßen gingen, um die suspendierte Präsidentin Dilma Rousseff zu unterstützen, die durch ein Votum des Senats zu ihrer Abberufung aus dem Amt enthoben worden war.	This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.
Handel zwischen Russland & Iran steigt plötzlich auf 71 % an - RT Business	Trade between Russia & Iran surges 71% - RT Business
Mit der Aufhebung der Sanktionen wuchs laut dem russischen Botschafter im Iran, Levan Dzhagaryan, der Handelsumsatz zwischen Moskau und Teheran im Jahresvergleich um 70,9 Prozent.	With the lifting of sanctions, trade turnover between Moscow and Tehran has grown 70.9 percent in year-on-year terms, according to Russia's ambassador to Iran, Levan Dzhagaryan.
Seit die internationalen Sanktionen gegen den Iran aufgehoben wurden, wuchs das Interesse auf Seiten russischer Unternehmen an Geschäften im Land stark an, teilte der Botschafter mit.	Since international sanctions against Iran were lifted, there has been a surge in interest from Russian firms in doing business in the country, the ambassador said.
Russische Unternehmen nehmen bestehende Verbindungen mit dem Iran auf, während neue Firmen bereit sind, sich Zugang zum Markt zu verschaffen.	Russian companies are resuming existing ties with Iran, while new firms are ready to get access to the market.
Natürlich ist der weitere Handelsausbau eine der größten Prioritäten der bilateralen Zusammenarbeit mit dem Iran," sagte Dzhagaryan.	Of course, the further expansion of trade is one of the main priorities of the bilateral cooperation with Iran," Dzhagaryan said.
Er merkte an, dass der Handelsumsatz zwischen Russland und dem Iran in den ersten fünf Monaten des Jahrs 2016 um 70,9 Prozent im Vergleich zu demselben Zeitraum im Jahre 2015 anstieg und $ 856 Millionen betrug.	He noted that in the first five months of 2016 the trade turnover between Russia and Iran increased by 70.9 percent compared to the same period of 2015 and amounted to $856 million.
Insbesondere stiegen die russischen Importe in den Iran um 91,5 Prozent sprunghaft an und betrugen $ 697 Millionen.	In particular, Russian exports to Iran jumped by 91.5 percent and amounted to $697 million.
Russische Importe aus dem Iran stiegen um 16 Prozent auf $ 158 Millionen an.	Russian imports from Iran increased by 16 percent to $158 million.
Der Handelsaufschwung wurde durch Lieferungen von Maschinen, Landfahrzeugen und Waffen erreicht," sagte der Botschafter.	The boost in trade was achieved by supplies of machinery, ground vehicles and weapons," the ambassador said.
Dzhagaryan geht für dieses Jahr von einer Rekordzahl von iranischen Touristen in Russland aus.	Dzhagaryan is also expecting a record number of Iranian tourists to visit Russia this year.
Letztes Jahr gab die russische Auslandsvertretung rund 35.000 Visas, in erster Linie Reisevisas, an iranische Bürger aus.	Last year, the Russian diplomatic mission in Iran issued about 35,000 visas, mostly travel, to Iranian citizens.
Des Weiteren erreichte der Iran die Top 20 der Länder, was die Touristenanzahl in Russland betrifft.	In addition, for the first time Iran entered the top 20 countries by number of tourists visiting Russia.
Man könnte sagen, dass die Rekordzahlen iranischer Touristen in Russland vom letzten Jahr, gebrochen werden, " sagte er.	It's safe to say that last year's record number of Iranian tourists visiting Russia will be broken," he said.
Gleichzeitig besuchen nur relativ wenige Russen den Iran, etwas, von dem der Botschafter hofft, dass es sich ändern wird.	At the same time, relatively few Russians are visiting Iran, something the ambassador hopes will change.
"Ich persönlich kann den Besuch der Städte Isfahan, Shiraz und Yazd empfehlen, die Monumente der alten persischen Zivilisation in einem guten Zustand erhalten haben, " sagte er.	"I can personally recommend to visit the cities of Isfahan, Shiraz and Yazd that have preserved monuments of ancient Persian civilization in good condition," he said.
Zeugen gesucht: Getränkemarkt in Waldbröl überfallen	Witnesses wanted: drinks cash-and-carry in Waldbröl raided
Ein Raubüberfall ist am Donnerstagabend auf den Getränkemarkt von Rewe XXL an der Waldbröler Gerberstraße verübt worden.	A robbery took place on Thursday evening in the drinks cash-and-carry of Rewe XXL on Walbröl's Gerberstraße.
Unter Vorhalt einer Schusswaffe forderten drei dunkel gekleidete Personen, die ihre Gesichter vermummt hatten, von dem Angestellten des Getränkemarktes die Herausgabe von Bargeld und flüchteten anschließend zunächst zu Fuß und dann vermutlich mit einem silberfarbenen VW-Golf.	Three people dressed in dark clothing and with their faces covered brandished a gun and demanded that staff at the cash-and-carry hand over cash. They made a run for it on foot, and then probably got into a silver VW Golf.
Wieviel Geld erbeutet wurde, teilt die Polizei nicht mit.	The police did not report how much money had been stolen.
Die Täter sollen zwischen 1,60 und 1,70 Meter groß gewesen sein, also relativ klein.	Between 1.6 and 1.7 m tall, the perpetrators were relatively short.
Der Getränkemarkt ist unmittelbar vom Parkdeck des Rewe-Marktes aus zugänglich und schlecht einsehbar.	The drinks cash-and-carry can be accessed directly from the Rewe supermarket's car park, and is tricky to observe.
Die Täter müssen nach dem Überfall in Richtung Gerberstraße, Friedrich-Engelbert-Weg gerannt und von dem gegenüber der Parkhauseinfahrt gelegenen Schotterparkplatz mit dem silberfarbenen Auto geflüchtet sein, möglicherweise in Richtung B 256 (Schladernring).	After the robbery, the perpetrators must have run towards Gerberstraße along Friedrich-Engelbert-Weg, and then fled, possibly towards the B 256 (Schladern ring road) in the silver car from the Schotterparkplatz opposite the entrance to the multi-storey car park.
Wer zur Tatzeit (gegen 19.45 Uhr) Beobachtungen gemacht hat, die im Zusammenhang mit dem Raubüberfall stehen, soll sich dringend bei der Polizei melden.	Anyone who saw anything around the time of the crime (around 7.45 p.m.) that is connected with the robbery should contact the police immediately.
Nagold: Spiel und Spaß bei Sommerfreizeit	Nagold: Fun and games at the summer fete
Acht schöne und frohe Tage verbrachten die Kinder und Jugendlichen der sozialpädagogischen Tagesgruppe/sozialen Gruppenarbeit des Kinderschutzbundes Nagold mit ihren Betreuern auf ihrer Sommerfreizeit in Nussdorf, in der Nähe von Mühlacker.	Children and young people from the youth work day group/social group work project from the child protection league of Nagold spent eight gloriously happy days with their social workers during the summer camp in Nussdorf, near Mühlacker.
Im ruhig gelegenen Freizeitheim Hardtwäldle war die lebensfreudige Gruppe während der ersten Schulferienwoche einquartiert.	The lively group spent the first week of the school holidays in the peacefully-located Hartwäldle holiday camp.
Mehrere Ganztagesausflüge standen auf dem Programm.	There were several day trips on the agenda.
Zum einen ging es nach Bretten mit dem Besuch des Streichelzoos.	One trip saw the group head to Bretten to visit the petting zoo.
Zum anderen nach Maulbronn, wo es im weltberühmten Kloster eine spezielle Kinderführung gab.	Another saw them visit Maulbronn, where there was a special children's tour around the world-famous cloisters.
Der dritte Ausflug führte nach Pforzheim.	The third trip took the group to Pforzheim.
Im Keltenmuseum in Hochdorf erfuhr die Gruppe viel über den Alltag und die Nahrung der Kelten.	The group learnt lots about how the Celts lived and what they ate in the Celtic Museum in Hochdorf.
An den heißen Tagen vergnügte sich die Gruppe am Tiefensee in Maulbronn, welcher zum Springen, Schwimmen und Planschen einlud.	On warm dates, the group cooled off at the Tiefensee lake in Maulbronn: perfect for jumping into, swimming around in, and paddling.
Kulinarisch wurden Kinder und Betreuer mit deren selbst zubereiteten Leibspeisen wie den Sauren Spätzle, dem Seebronner Pfännle, Iselshauser-Bloff, dem Englischen-Breakfast und Tübinger Bolognese verwöhnt.	Children and carers cooked their own favourite meals, such as mini German spätzle dumplings in a sour sauce, traditional Seebronner Pfännle and Iselshauser Bloff, English breakfast, and Tübingen-style bolognese.
In Workshops wurde gebatikt, schöne Schmuckstücke aus Perlen und Steinen erschaffen oder aus Holz ein Römische-Mühle-Spiel hergestellt.	During workshops, children could practise baktik, make beautiful jewellery with pearls and stones, or create a Roman windmill game from wood.
Weitere Höhepunkte der Freizeit waren das Angeln in einem nahegelegenen Teich, die Abende am Feuer und der abschließende "Bunte Abend".	Other highlights of the summer camp included fishing in a nearby pond, spending the evenings around a campfire, and the concluding "Gala Night".
Am Tag der Heimreise lachte die Sonne und die Kinder und Jugendlichen kehrten zufrieden heim.	When it came to go home, the sun was shining, and the children and young people headed home happy.
Haigerloch: Pilgern zur Pforte der Barmherzigkeit	Haigerloch: Pilgrims at the gates of mercy
Die Ministranten aus der Seelsorgeeinheit Eyachtal-Haigerloch St. Anna waren unterwegs auf einer viertägigen Pilgerwanderung von Villingen nach Freiburg.	The ministrants from the chaplaincy of Eyachtal-Haigerloch St. Anna went on a four-day pilgrimage from Villingen to Freiburg.
Gemeinsam wurden vier Etappen bewältigt.	They covered four stages together.
Um die Zeit bis zur nächsten Romwallfahrt aller Ministranten in voraussichtlich zwei Jahren zu überbrücken, hat sich die Oberministrantenrunde St. Anna zur Vorbereitung und Durchführung einer mehrtägigen Pilgerwanderung entschlossen.	The committee of upper ministrants for St. Anna had decided to prepare for and go on a pilgrimage lasting several days to bridge the gap to the next pilgrimage to Rome for all ministrants, likely to take place in two years' time.
Verschiedene Wallfahrtsziele wurde geprüft und man entschied sich schlussendlich für die Bischofsstadt Freiburg, wo in diesem Jahr anlässlich des Heiligen Jahres der Barmherzigkeit mit der hierzu geöffneten Pforte der Barmherzigkeit am Freiburger Münster ein besonderes Pilgerziel geboten war.	Various pilgrimage sites were discussed, and a decision was finally made to go to the bishop's city of Freiburg, where, to mark the holy year of mercy, this year the gates of mercy opened for this at Freiburg cathedral are a particular pilgrimage site.
16 Minis aus Bittelbronn, Gruol, Haigerloch und Heiligenzimmern machten sich auf den Weg.	16 children from Bittelbronn, Gruol, Haigerloch and Heiligenzimmern set off.
Am Abend zuvor sandte Pfarrer Storost die Pilger in einer kleinen Feier in St. Anna aus, segnete die Pilgerkreuze und erteilte den Pilgersegen.	On the previous evening, Father Storost set the pilgrims off with a small celebration in St. Anna, blessed the pilgrims' cross and the pilgrims.
Von Horb aus wurde per Bahn an den Startpunkt Villingen gefahren, wo auch ein Münster Unserer Lieben Frau steht und so der Pilgerweg vom Münster angetreten wurde.	They took the train from Horb to the starting point of Villingen, where the Cathedral of Our Lady is found. They started their pilgrimage from the cathedral.
Die einzelnen Tagestouren wurden morgens und abends je von einem kurzen Impuls mit verschiedenen Gebeten, Liedern und Schrifttexten umrahmt.	The individual day trips were framed by brief moments every morning and evening with various prayers, songs and written texts.
Aber auch unterwegs machten die Minis an Feldkreuzen, Kapellen oder Kirchen immer wieder Rast um gemeinsam ein Lied aus eigens zusammengestelltem Pilger-Liedheft zu singen.	Even when they were out and about, the children took breaks at wayside crosses, chapels or churches to sing a song from the pilgrims' songbook they had put together themselves.
Für die Übernachtungen standen jeweils Pfarrheime der örtlichen Pfarreien zur Verfügung.	The rectory of each parish they reached was available for them to stay in overnight.
An den Etappenzielen sorgten Alexandra Burkhardt und Heidi Faller für ein schmackhaftes wie auch stärkendes Abendessen und das Frühstück.	At each stage, Alexandra Burkhardt and Heidi Faller were responsible for creating a delicious, nourishing dinner and breakfast.
Weiter ging es am zweiten Tag über Furtwangen nach Gütenbach.	The second day saw them head towards Gütenbach, via Furtwangen.
Tags darauf trat man die Etappe nach St. Peter an, welche die anstrengenste Wegstrecke war, mussten doch bei schwüler Hitze zunächst rund 500 Höhenmeter abgestiegen und danach wieder erklommen werden.	The next day, they set off on the section towards St. Peter, the most demanding section, seeing them climb around 500 metres in altitude in sweltering heat, and then descend again.
Die verdiente Belohnung war abends ein gemeinsames Grillen am Badweiher.	They earned the reward of barbecueing together by the swimming pond.
Nach dem Morgenimpuls am vierten Pilgertag in der imposanten Klosterkirche von St. Peter ging es auf die Schlussetappe nach Freiburg.	After the morning session on the fourth day of the pilgrimage in the impressive cloisters of St. Peter, they started off on the final stage to Freiburg.
Sichtlich erleichtert und glücklich trafen die Minis am späteren Nachmittag am Freiburger Münster ein und durchschritten die Pforte der Barmherzigkeit.	The children gathered together in Freiburg Cathedral late in the afternoon, visibly relieved and happy, and passed through the gates of mercy.
Mit einem kleinen Impuls wurde hier Gott gedankt.	A brief moment was taken to thank God.
In der Abendmesse im Münster wurden die am Pilgerziel angekommenen Minis von Kooperator Markus Obert begrüßt.	The evening mass in the cathedral saw the children who had arrived at the pilgrimage site welcomed by Chaplain Markus Obert.
Nach dem Gottesdienst konnten die Pilger die Sakristei und den Hochaltar besichtigen.	After the service, the pilgrims were able to visit the sacristry and the high altar.
Am nächsten Tag war noch Zeit für die Breisgaumetropole.	The next day, there was time to look around the city, located in the region of Breisgau.
Nachmittags ging es per Bahn zurück nach Horb.	In the afternoon they took the train back to Horb.
Am Schluss waren sich alle Teilnehmer einig, dass die Tage von Spiritualität und einem starken Gemeinschaftserlebnis geprägt waren.	At the end, all the participants agreed that the trip was characterised by spirituality and a strong sense of camaraderie.
Schotte Callum Skinner stürmt nach Hause, als Brite Gold für Radsport erringt	Scot Callum Skinner storms home as Brits grab cycling gold
Schottlands Callum Skinner raste letzten Abend im Männerteam-Sprint im Velodrom in Rio zum Ruhm, als das britische Team den Titel von London 2012 verteidigte.	Scotland's Callum Skinner raced to glory in the men's team sprint at the Rio velodrome last night as the Team GB trio defended the title from London 2012.
Der 23-Jährige aus Glasgow nahm die Ankerrolle ein, die sein Landsmann Sir Chris Hoy sich zu Eigen gemacht hatte. Der Jungspund machte die Legende stolz, als er nach Hause stürmte, um einen Sieg von den Favoriten Neuseeland einzuheimsen.	The Glaswegian 23-year-old was in the anchor role that his fellow Scotsman Sir Chris Hoy made his own and the youngster did the legend proud as he stormed home to snatch victory from the favoured New Zealand outfit.
England beanspruchte vor vier Jahren einen schockierenden Sieg, während Hoy das fünfte von sechs Olympiagoldmedaillen holte.	Britain claimed a shock victory four years ago to win as Hoy claimed the fifth of his six Olympic golds.
