Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
"I'm a former featherweight," Garcia reminded.	“我之前是轻量级，”加西亚提道。
"I moved up for Broner [at 140 pounds], but I'm not that big.	“我上调级别以对战布罗纳（140 磅），但我体重并没有那么大。
I'm small for 140.	相对于 140 磅，我的体重还差一点。
I want to come down to lightweight.	我想回到轻量级。
And he's got to move up to lightweight [135 pounds] and then we have a fight.	而他必须达到轻量级（135 磅），然后我们才能对战。
That's what the fans are asking for.	这也是粉丝们想要的。
Let's give them that."	那我们就满足他们。”
Lomachenko agreed.	洛马琴科对此表示同意。
"Boxing needs this fight."	“拳击界需要这场对战。”
Klimas asked if it should be on pay-per-view, part of a strategy he has to have Lomachenko fight a 135-pound debut bout later this year to set up a date next summer with Garcia (37-0, 30 knockouts), who also has interest in fighting the Jorge Linares-Luke Campbell winner following their Sept. 23 lightweight title bout at the Forum.	克利玛斯问他是否应该按次收费，他的部分战略是必须让洛马琴科在今年晚些时候与一位 135 磅选手进行首秀比赛，以为明年夏天与加西亚（37-0,30 淘汰赛）约定一个日期。加西亚也有兴趣在 9 月 23 日论坛轻量级拳王争霸赛之后，与豪尔赫·利纳雷斯-卢克·坎贝尔对战的胜利者进行对决。
"This fight could be on pay-per-view because all the fans have been asking about it," Garcia said, later expressing openness to fighting on whatever network offers the best financial package.	“由于所有的粉丝都在问这个问题，这场对战可能是按次收费，”加西亚说。之后，他对于在提供最佳财务方案的网络上比赛表示出开放态度。
"We're the main names.	“我们是主要人物。
No other names can generate that kind of attention.	其他人不可能产生这么大的关注度。
Whenever they're ready ... ."	只要他们准备好......”
Garcia said he appreciates Lomachenko as "a tremendous fighter," and may attend his Saturday bout.	加西亚赞赏洛马琴科是“一个出色的选手”，并可能现场观看他周六的拳击比赛。
But Lomachenko paused at lavish praise for Garcia, saying he thought the three-division champion from Riverside looked "very slow, sorry Mikey ... you wanted the knockout."	但洛马琴科对加西亚的赞誉有所犹豫，称他认为这个来自里弗赛德的三分区冠军看起来“很慢。抱歉，麦基......你会被淘汰的。”
Garcia said the focus was to show punching strength, then box.	加西亚说，重点是要展现拳头的力量，然后再是拳击。
They both said they can feel the momentum building for their own bout.	他们都表示可以感受到自己拳击比赛的势头。
"This is the fight to be made.	“这是必须要进行的对战，
No other fight creates as much attention and buzz.	关注度和热议度是其他拳击比赛所不能及的。
I'm more than happy to work at it," Garcia said.	我非常乐意参赛，”加西亚说。
Said Lomachenko: "I've waited for the top fighters, and this is Mikey.	洛马琴科说：“我一直在等待顶级战士，这次轮到麦基了。
It will be a great fight."	这将是一场伟大的对战。”
Promote Environmental Protection yesterday held a large-scale environmental volunteer service thematic event entitled “Green Homeland, Make Xicheng Proud”	宣传环保昨天，西城区举办了“绿色家园，益动西城”大型环境志愿服务主题活动
Unlike the past traditional methods of picking up trash and handing out promotional material, the organizers have set up six special game experiential zones, including water-efficient toilets, enzyme production experiences, and traffic dominoes.	不同于以往捡垃圾、发宣传材料的传统方式，主办方专门设置了6个游戏体验区，包括节水马桶展示、酵素制作体验、交通多米诺骨牌等。
At present, many children in China have given up their studies, taking professional golfers as their goals. And they have been so smooth on the professional path and won’tconsider going to colleges.	目前在国内，许多小朋友因为以职业高尔夫球手为目标，放弃了学业，而在职业道路上走得平顺，更不会考虑大学。
The position stated by National Development and Reform Commission officials as regards achieving the emission reduction target of the 11th Five-Year Plan ahead of time gives the steel industry, which has been subjected to power supply and production quotas, strong expectations of resumption of production.	中国发改委官员对十一五减排目标提前完成的表态，让受限电限产压制的钢铁行业有了强烈的复产预期。
Although steel plants, as of now, have yet to receive clear notification from local governments announcing that work related to energy conservation and emission reduction has ended, the industry expects that by around December 15, 2010, steel plants nationwide that have been subjected to production quotas will resume production successively. Steel prices could start to come under pressure.	虽然目前钢厂并未收到当地政府宣布节能减排工作已结束的明确通知，但业内估计，2010年12月15日左右，各地原本被限产的钢厂将陆续完成复产，钢价或将开始承压。
A spokesperson from a private steel enterprise in Hebei told our reporter that notice to end power supply and production quotas has yet to be received at this time, but in reality, pressure on all enterprises have eased significantly when compared to that in September and October.	目前还没有收到限电限产结束的通知，但实际上各个企业的压力已经大大小于9、10月份，河北省一家民营钢企人士对记者说。
Some local governments in Hebei Province have repeatedly issued documents related to power supply and production quotas, and have adopted mandatory power shutdown measures to limit production.	河北部分地方曾屡次下发限电限产文件，并一度采取强制拉闸的方式限制企业生产。
The reporter learned from local enterprises that the steel plants of most regions in Hebei have resumed production at this time, and pressure from production quotas have eased.	记者从当地企业了解到，目前河北绝大部分地区的钢厂已经复工，限产压力缓解。
Mysteel.com analyst Zhang Tieshan estimated that end-user demand for construction steel will gradually weaken as winter has already arrived in Northern China.	我的钢铁网分析师张铁山预计，由于北方已经入冬，建筑钢材的终端需求将逐步由强转弱。
Coupled with the energy conservation and emission reduction program winds down, most steel plants will generally resume production by around December 15. Products will gradually make their way to markets across the country before New Year’s Day.	加之节能减排的逐步结束，到12月15日前后，大部分钢厂将基本复产，产品将于元旦前陆续到达各地市场。
The increase in the supply of resources will exert some pressure on soaring steel prices.	资源供应的增加将使得目前涨势正好的钢材价格受到一定压力。
On December 20, relevant personnel from ZTE Smart Auto told Bloomberg (www.thepaper.cn) reporters that ZTE has acquired a 70% equity stake in Granton Automobile, and will set up ZTE’s smart auto group on this foundation. “We are not at liberty to disclose the monetary sum, but it amounted to several hundred million. We are in the process of recruiting talent. In the future, smart autos will be a very important business for ZTE.	12月20日，中兴智能汽车相关人士对澎湃新闻（www.thepaper.cn）记者表示，中兴通讯收购了珠海广通客车70%的股份，并在此基础上组建了中兴通讯的智能汽车团队，“金额不方便透露，达到数亿元。我们正在招揽人才，未来智能汽车将是中兴通讯一个很重要的业务。
According to foreign media reports, renowned Hollywood director Garry Marshall passed away on July 19 local time of complications from pneumonia at a hospital in Burbank, California. He was 81 years old.	据外媒报道，美国当地时间7月19日，好莱坞著名导演加里·马歇尔因肺炎并发症在加州伯班克的一家医院里逝世，享年81岁。
His publicist Michelle Bega confirmed this news to a “USA Today” reporter.	其新闻发言人米雪儿·贝佳向《今日美国》的记者证实了这一消息。
In the history of Chinese badminton team playing in the finals, no one has ever won the champions of two pair games at the same time.	在国羽出战总决赛的历史上，还从未有一人同时拿下双打两冠。
The 68th Primetime Emmy Awards ceremony was held in Los Angeles, USA, yesterday (night of September 18th, local time).	第68届艾美奖颁奖典礼昨日(当地时间9月18日晚)在美国洛杉矶举行。
Competition for “Best Actor” and “Best Actress” in a dramatic role was intense this year. Finally, two newcomers beat seasoned actors: the Best Actor Award went to the male lead of “Mr. Robot”, Rami Malek, who was nominated for the first time, while Tatiana Maslany of “Orphan Black” won the Best Actress Award.	今年的剧情类“视帝”“视后”竞争激烈，最终由两位新人打败了一众老演员：最佳男主角奖由首次提名的《黑客军团》男主角拉米·马雷克夺得，最佳女主角奖由《黑色孤儿》的塔提阿娜·玛斯拉尼夺得。
“Game of Thrones” and “American Crime Story” were the biggest winners of this Annual Emmy Awards.	本届艾美奖的大赢家当属《权力的游戏》和《美国犯罪故事》。
“American Crime Story” won the major awards for the limited series, movie or dramatic special category, while “Game of Thrones” won 12 major awards (including the technical category); in particular, it won three major awards, namely, Best Drama Series, Best Directing for a Drama Series, and Best Writing for a Drama Series.	《美国犯罪故事》包揽了迷你剧/电视电影类的重要大奖，《权力的游戏》则拿下12个大奖(含技术类)，其中包括剧情类最佳剧集、最佳导演和最佳编剧三个重磅大奖。
To date, “Game of Thrones” has already received 38 Emmy Awards, becoming the TV series that has won the most Emmy Awards in history.	至此，《权力的游戏》已经收获了艾美奖奖座38个，成为历史上获得艾美奖最多的电视剧集。
Regrettably, none of the actors in “Game of Thrones” won an award.	遗憾的是，今年《权力的游戏》在演员奖项上颗粒无收。
A few years ago, people who were allowed to set foot in the venture capital sector were limited to those who had founded companies and subsequently joined venture capital companies, or analysts who worked in venture capital companies who hoped to further their careers.	就在几年前，能够涉足风投领域的仅局限于创办过公司，后来加入风投公司的人，又或者那些希望事业更上一层楼的风投公司分析师。
Entrepreneurs would be able to more easily raise funds from the numerous investors on the AngelList, and would therefore not have to rely on on agents to put them in contact with top venture capital companies.	创业者能够更加轻松地从AngelList数目众多的投资者那里获得小额融资，因而不需要线人给他们跟顶级风投公司牵线搭桥。
CRI Online (Liu Pai): The Economic & Commercial Section of the Embassy of the Republic of Italy in China held a Sino-Italian Cooperation Program for Environmental Protection on the 18th. Participants from corporations and scientific research institutions of the two countries had an extensive exchange of views in respect of cooperation between the two countries as regards renewable resources under a new state of affairs, and reached a consensus.	国际在线消息（记者刘湃）：18日，意大利驻华使馆经济商务处举办中国－意大利环保洽谈会，来自两国企业和科研机构人士就新形势下两国在可再生资源领域的合作广泛交换意见，达成积极共识。
It is understood that the participating Chinese representatives mainly comprised those from China Recycling Development Corporation Ltd and International Technology Transfer Network, while the Italian representatives included those from the Global Energy Environmental Exchange Organization, federation of businesses of the greater Bologna region, and other entities.	据悉，中方参会代表主要有中国再生资源开发有限公司、中国国际技术转移协作网络，意方则由全球能源环境交流组织、意大利博洛尼亚大区企业联合会等机构组成。
The Italian representatives said that Italy has a myriad of environmental protection technologies and solutions in the renewable resources sector, and proposed to carry out pilot programs with the Chinese in three areas, namely, industrial waste treatment, waste oil treatment, and waste incineration and disposal. It also looked forward to promoting its environmental protection partnership experience with China in other regions around the world.	意方代表表示，意大利在可再生资源领域拥有多样性的环保技术和解决方案，提议在工业垃圾处理、废油处理和垃圾焚烧处理设备三方面与中方开展试点项目，同时期待将与中国的环保合作经验推广到全球其他地区。
New results of Sweden's asylum age assessment tests released	瑞典避难者年龄评估测试最新结果公布
The latest results of tests on asylum seekers in Sweden subjected to a new method of medically assessing their age show that over 80 percent tested were judged to be older than 18, but not everyone has faith in their accuracy.	瑞典避难者测试采用最新方法，从医学上评估他们的年龄，最新结果表明，超过 80% 的受试者被判定为超过 18 岁，但并非所有人都相信其准确性。
Sweden's national Forensic Medicine Agency (Rättsmedicinalverket) started carrying out the tests earlier year.	瑞典国家法医学中心 (R?ttsmedicinalverket) 在今年早些时候开始此项测试。
They are designed to make age assessment during the asylum process more accurate after the Swedish Migration Agency (Migrationsverket) was criticized for failings in assessing the correct age of some refugees claiming to be underage.	被指未能准确评估部分声称未成年的难民的年龄后，瑞典移民局 (Migrationsverket) 设计了这些测试，以期在避难过程中进行更准确的年龄评估。
To date Migrationsverket has sent 6,880 cases to be tested, and the Forensic Medicine Agency has now released the results of a total of 2,481 tests from the period between mid March until July 31st, 2017.	到目前为止，瑞典移民局已经送来 6880 例测试者，法医学中心目前已经公布 2017 年 3 月中旬至 7 月 31 日期间总计 2481 名测试者的结果。
Eighty percent (2002) were judged to be 18 or over, while in a further 25 cases the Forensic Medicine Agency judged that the subject was "possibly 18 or over."	80%（2002 人）被判定为年满 18 岁或以上，然而在另外 25 例的测试中，瑞典国家法医学中心又判定受试对象“可能年满 18 岁或以上”。
In 432 cases the conclusion was that the person is "possibly under 18."	在 432 例测试中，结果是此人“可能未满 18 岁”。
The tests are only carried out in cases where the person's age is in question.	测试只针对年龄有疑问的人。
According to Johan Göransson from the Forensic Medicine Agency, the results are consistent with previous months.	据法医学中心的约翰·葛兰森称，这些结果与前几个月的结果一致。
"We see no big difference in the statistics from previous months, the numbers are quite consistent," he told The Local.	他告诉 The Local：“这些数据和前几个月的数据没有太大差别，数字都十分一致。”
The high proportion of cases judged to be over 18 does not necessarily mean that the asylum seeker lied about their age.	被判定年龄达到 18 岁以上的案例占据较高比例并不一定表示这些避难者就谎报了年龄。
In May, the agency released the results of 581 tests and said that there were 442 instances that "suggest the person examined is 18 years or older."	五月份，该中心公布了 581 例测试结果，并称有 442 例“表明此受试者已年满 18 岁或以上”。
When newspaper Svenska Dagbladet investigated the 581 results released however it found that in 243 of the cases the person had openly stated that they turn 18 this year.	新闻报纸 Svenska Dagbladet 调查了此次公布的 581 例测试结果，发现其中 243 例受试者已公开表示他们今年会年满 18 岁。
The method of medical age assessment, which consists of taking X-rays of wisdom teeth and MRI scans of knee joints, then having dentists and radiologists analyse them, has also been criticised in some quarters.	对智齿进行 X 射线检查，对关节进行核磁共振扫描，然后由牙科医生和放射科医生分析结果，这种医疗评估方式也在部分地区受到质疑。
One sceptic is Karolinska Institute endocrinologist Claude Marcus, whose work includes assessing the biological maturity of people to see if they went through puberty earlier or later than usual.	其中一名怀疑者就是卡罗琳学院的内分泌学家克劳德·马库斯，其工作包括评估人们的生物成熟度以判定他们是否早于或晚于正常年龄经历青春期。
"I've had reason to think about this, and I don't think the type of measurement being used should be.	他告诉新闻报纸 Metro：“我有理由这样想，而且我认为使用的测量方式不应该是这样的。
Judging biological age in this way is very uncertain.	以这样的方式判定生理年龄很不准确。
If we can't say it for sure we shouldn't pretend that we can," he told newspaper Metro.	如果我们不能保证准确性，就不应该假装我们做得到。”
The Forensic Medicine Agency's Göransson defended the accuracy of the tests however: "In general you can say that the risk of inaccurately judging a child to be an adult is small.	然而法医学中心的葛兰森却为这些测试的准确性辩护：“大体上可以说判定一个孩子为成年人的不不确定风险很小。”
The biggest risk is if the person is just under 18, in which case it's around 10 percent."	最大的风险是此人刚好未满 18 岁，这种情况大约占 10%。
West Virginia governor announces he's switching parties	西弗吉尼亚州州长宣布换党
The Democratic governor of West Virginia, Jim Justice, announced Thursday night at a rally with President Trump that he's switching parties.	周四晚，西弗吉尼亚州民主党州长吉姆·贾斯提斯 ( Jim Justice) 在特朗普总统的集会上宣布，他将更改党派。
"Like it or not like it, the Democrats walked away from me," Gov. Justice said.	“喜欢也好，不喜欢也罢，民主党已经离我而去”，州长法官说道。
"Today I will tell you with lots of prayers and lots of thinking ... today I will tell you as West Virginians, I can't help you anymore being a Democratic governor."	“今天，我在进行了很多的祈祷和大量的思考后，我要告诉你们......今天我要以西弗吉尼亚人的身份告诉你们，我再也不能以民主党州长的身份来帮助你们了。”
The rally erupted in cheers.	集会爆发出了欢呼声。
"So tomorrow, I will be changing my registration to Republican," Justice added.	“所以，明天，我将会把党籍改成共和党”，贾斯提斯补充道。
"As a coach, I would tell you it's time to run another play."	“作为一名教练，我要告诉是时候开始另一场比赛了。”
Mr. Trump promised earlier a big announcement at the West Virginia rally.	特朗普早些时候在西弗吉尼亚州的集会上承诺要作出重大宣布。
Mr. Trump won West Virginia by 42 points, and Justice did not endorse the Democratic nominee, Hillary Clinton.	特朗普先生赢得了西弗吉尼亚州 42% 的得票率，，而贾斯提斯并没支持民主党候选人希拉里?克林顿。
Justice, who is the only billionaire in the state, according to Forbes, was elected in 2016.	据《福布斯》报道，贾斯提斯在 2016 年被评选为该州唯一的亿万富翁。
Forbes notes that he owns coal mines in five states, having inherited a coal business from his father.	《福布斯》指出，他继承了父亲的煤炭产业，在五个州均拥有煤矿。
He's worth about $1.59 billion.	目前，他的身价大约为 15.9 亿美元。
Meanwhile, the Republican National Committee released a statement Thursday night saying "Governor Justice's party switch is another blow to a Democratic Party that would rather obstruct than work to make our country great again."	与此同时，共和党全国委员会于周四晚间发表声明称：“贾斯提斯州长的换党是对民主党的又一次打击，这非但不会阻碍我们的国家变得再次伟大，反而会使我们的国家再次伟大。”
"With only 15 governorships and control of the fewest state legislatures in history, Governor Justice's announcement is just the latest rejection of a party that is leaderless from top to bottom and unable to find a positive, unifying message," RNC chairwoman Ronna McDaniel said in a statement to CBS News.	“民主党目前只有 15 个州长，并且控制州议会的数量创历史最低，贾斯提斯州长的声明是对这样一个从上到下丧失领导力、无法找到积极的统一口号的政党的最新拒绝 ”，共和党全国委员会女主席罗娜?麦克丹尼尔在向 CBS 新闻发表的声明中称。
Fang Wenshan said frankly that using music to tell an entire story is his dream.	方文山坦言，用音乐来讲完整的故事，是自己的梦想。
A song lasts between four and five minutes, so telling an entire story would be very difficult.	一首歌四到五分钟，要完整讲述一个故事很困难。
When I write songs, I am assailed by emotion. There is no story line. I’ve always felt that that was a real pity.	我写歌的时候只有情绪，没有故事线，一直觉得很可惜。
Coe praises 'candid' Russian apology for doping scandal	塞巴斯蒂安·科称赞俄罗斯对于兴奋剂丑闻的“坦率”道歉
Global athletics boss Sebastian Coe praised what he described as a candid apology from Russia over a doping scandal on Thursday but reiterated it was not the moment for the country to be readmitted to the sport.	周四，国际田径联合会主席塞巴斯蒂安·科对俄罗斯就兴奋剂丑闻道歉表示赞赏，并称该道歉十分“坦诚”，但他重申现在亦不是俄罗斯重新参加这项运动的时刻。
Russia's athletics boss Dmitry Shylakhtin told an IAAF Congress, held on the eve of the World Athletics Championships, that his country's ban from the sport was correct and that he was determined to fight doping.	俄罗斯田径联合会主席米特里·希拉克丁在世界田径锦标赛前夕举行的国际田联大会上表示，他的国家被禁止参加这项运动是正确的，他决心打击兴奋剂。
He said he was sorry to "all athletes who have had gold and silver medals snatched from them at competitions."	他表示他很遗憾“所有在比赛中获得金牌和银牌的运动员都被剥夺了奖牌。”
Despite his comments, the IAAF Congress voted in favor of maintaining the ban, imposed in November 2015 after a World Anti-Doping Agency (WADA) report found evidence of state-sponsored doping in Russia.	尽管他做出如此评论，国际田联大会仍投票赞成维持禁令。此前，世界反兴奋剂机构 (WADA) 的报告中提及发现了俄罗斯国家赞助使用兴奋剂的证据，禁令于 2015 年 11 月实施。
"I thought it was a very candid response today, a very candid presentation," IAAF president Coe told reporters.	“我认为今天的回应非常坦率，非常坦率的介绍，”国际田联主席科告诉记者。
"The whole Council and the whole Congress was pleased ... that the Russian federation recognized themselves that they have been through some pretty torrid times and are doing everything possible to make sure the federation is reengineered."	“整个理事会和田联大会都很高兴......俄罗斯联邦承认自己经历了一段非常焦灼的时期，并正在尽一切可能确保俄罗斯能够重新参加比赛。”
Coe said he was also "pleased" that Russia accepted the criteria for its reintroduction.	科说，他也很“高兴”俄罗斯接受了重新参赛的标准。
"I think it was a very constructive day and I think progress is being made, but the Congress supports the recommendations of the task force that this was not the moment to reinstate Russia," said Coe.	“我认为这是非常有建设性的一天，也认为我们取得了一些进展，但田联大会支持专案小组的建议，现在还不是恢复俄罗斯参赛资格的时候，”科说。
"We need to do everything over the next few months to normalize this situation.	“我们需要在接下来的几个月里尽其所能使这一情况正常化。
The guiding principle has always been that we wanted to separate the clean athletes from the tainted system," he added	我们的指导原则一直是希望将清白的运动员从受污染的系统中分离出来，”他补充说。
Nineteen Russian athletes will be competing as neutrals at the World Athletics Championships which start in London on Friday, having met strict IAAF criteria.	十九名俄罗斯运动员符合国际田联的严格标准，将在周五伦敦举办的世界田径锦标赛中以中立选手的身份参加比赛。
The head of the IAAF's Task Force, Rune Andersen, said on Monday that Russia had yet to meet several of the criteria for reinstatement.	国际田联专案小组负责人符恩·安德森周一表示，俄罗斯尚未达到恢复参赛的若干标准。
Drug-testing was still insufficient and banned coaches were still operating freely, he told reporters in London after a presentation to the IAAF Council.	他在伦敦向国际田联理事会发表演讲后告诉记者，药物检测做的仍然不足，被禁的教练也仍然在执教。
At the promotional event for the first anniversary of the implementation of the “Regulations of Beijing Municipality on Smoking Control” held this morning, young student representatives of the video clip, “My Smoking Control Declaration”, which won the national youth smoking control video clip award, interacted with national smoking control ambassador Huang Xuan, and reviewed the video of the activities concerned with calling for entries for the contest, as well as the screening of the excellent award winning works.	今天上午举行的《北京市控制吸烟条例》实施一周年宣传活动上，“我的控烟宣言”全国青年控烟微视频获奖的青年学生代表与全国控烟宣传形象大使黄轩互动，并且回顾了征集活动视频及获奖优秀作品展映。
Reporters from The Mirror learned from the event that young actor Huang Xuan was engaged to become the national smoking control ambassador.	法晚记者从活动上获悉，青年演员黄轩被聘为全国控烟宣传形象大使。
Huang Xuan said he used to smoke when he was in university. After having fully understood the dangers of smoke, he stopped smoking successfully. This time, he proactively assumed the duty of a quit-smoking ambassador, calling on youths to stay away from tobacco.	黄轩自曝大学时期曾抽烟，在充分认识烟雾危害后，成功戒烟，这次更主动承担了戒烟大使的职责，号召青少年远离烟草。
Audiences put on masks, and exist like a spirit in the story. This is most critical rule of the game in “Sleep No More”.	观众戴上面具，成为故事中幽灵一般的存在，这是《不眠之夜》最大的游戏规则。
The RMB middle price is registered at 6.4401, a depreciation of 66 basis points. The rising slows down.	人民民币中间价报6.4401贬值66基点 连续升势暂缓
Macroeconomics Tencent Finance 2018-01-18 09:50	宏观经济 腾讯财经2018-01-18 09:50分享
Tencent Financial News on January 18, the USD-to-RMB middle prices is registered at 6.4401, a depreciation of 66 basis points compared with the last trading day, ending the rise spanning five consecutive days.	腾讯财经讯1月18日，人民币兑美元中间价报6.4401，上一交易日中间价贬值66个基点，结束了此前的五连涨。
In the overnight market, the US dollar experienced a V-shaped rebounded, ending at 90.8900 as of 07:30, Beijing time.	隔夜市场，美元回暖，美元指数走出V字形态，截至北京时间07：30报90.8900。
The Beige Book published by Federal Reserve shows that almost all 12 Fed regions reported mild to moderate growth in economic activity in early 2018. The Federal Reserve remains optimistic about the outlook for this year.	美联储公布经济褐皮书显示，12个联储地区几乎都报告2018年初经济活动取得适度到温和的增长，对今年前景保持乐观。
Meanwhile, the U.S. unemployment rate remained at 4.1% in December, the lowest since 2000, and companies are expected to increase wages in the coming months.	同时，美国12月份失业率仍然保持在4.1%，为2000年以来最低，预计企业将未来几个月上涨工资。
Fed officials generally believe that tax reform is a factor supporting this modest strengthening of the economic outlook. The Fed predicts that the economy will increase by 2.5% in 2018 and the interest rate will be raised three times.	美联储官员普遍认为税改是支持这个适度走强经济前景的一个因素，美联储预测2018年经济增长2.5%，加息3次。
Some market observers have point out that the expected tightening of ECB’s monetary policy pushes up the exchange rate of the Euro in recent days. As a result, the US dollar index declines continuously, and the RMB exchange rate against the US dollar has seen a surge in prices. However, the European Central Bank is unlikely to adjust the policy stance soon. After the short-term fluctuation of the foreign exchange market, the exchange rates will eventually return to a level dictated by the fundamentals, and the continued smooth operation of the RMB exchange rate is a high probability event.	市场人士指出，近段时间，欧洲央行货币政策收紧预期推升欧元汇率，美元指数连续下滑，人民币对美元汇率相应出现一波快速拉升行情，不过目前看，欧洲央行不太可能很快调整政策立场，外汇市场短期波动后终究要向基本面回归，人民币汇率继续平稳运行是大概率事件。
It is worth noting that, as the market expects a more stable renminbi, the attractiveness of renminbi assets to foreign investors will also gradually increase.	值得注意的是，随着市场对人民币预期更趋平稳，人民币资产对境外投资者的吸引力也逐渐凸显。
The People’s Bank of China has authorized the China Foreign Exchange Trade System to release the interbank foreign exchange market central parity rates of the RMB: USD1 to RMB6.4401, EUR1 to RMB7.8482, JPY100 to RMB5.7854, HKD1 to RMB0.82399, GBP1 to RMB8.9017, AUD1 to RMB5.1302, NZD1 to RMB4.6779, SGD 1 to RMB4.8546, CHF1 to RMB6.6731, CAD1 to RMB5.1747, RMB1 to MYR 0.61399, RMB1 to RUB8.8352, RMB1 to ZAR1.9128, RMB1 to KRW165.95, RMB1 to AED0.57030, RMB1 to SAR0.58233, RMB1 to HUF39.3106, RMB1 to PLN0.53093, RMB1 to DKK0.9487, RMB1 to SEK1.2501, RMB1 to NOK1.2240, RMB1 to TRY0.59303, RMB1 to MXN2.9071.	中国人民银行授权中国外汇交易中心公布，2018年1月18日银行间外汇市场人民币汇率中间价为：1美元对人民币6.4401元，1欧元对人民币7.8482元，100日元对人民币5.7854元，1港元对人民币0.82399元，1英镑对人民币8.9017元，1澳大利亚元对人民币5.1302元，1新西兰元对人民币4.6779元，1新加坡元对人民币4.8546元，1瑞士法郎对人民币6.6731元，1加拿大元对人民币5.1747元，人民币1元对0.61399马来西亚林吉特，人民币1元对8.8352俄罗斯卢布，人民币1元对1.9128南非兰特，人民币1元对165.95韩元，人民币1元对0.57030阿联酋迪拉姆，人民币1元对0.58233沙特里亚尔，人民币1元对39.3106匈牙利福林，人民币1元对0.53093波兰兹罗提，人民币1元对0.9487丹麦克朗，人民币1元对1.2501瑞典克朗，人民币1元对1.2240挪威克朗，人民币1元对0.59303土耳其里拉，人民币1元对2.9071墨西哥比索。
At 7.50 am today (March 10), a chemical plant in Xinxiang County, Henan Province, exploded, with black smoke billowing at the scene.	今日（3月10日）上午7时50分，河南省新乡县一处化工厂发生爆炸，现场升腾起滚滚黑烟。
The Beijing News reporter learned from the Xinxiang County Party Committee Propaganda Department that one person was injured in the explosion.	新京报记者从新乡县委宣传部获悉，爆炸共致1人受伤。
The videos released by local netizens showed that thick smoke was billowing at the scene of the explosion, accompanied by noise.	当地网友发布的视频显示，爆炸现场浓烟滚滚，并伴有响声。
Some netizens claimed that the explosion occurred this morning, and that it occurred at a chemical plant in Xiaoji Town, Xinxiang County, Henan Province.	有网友称，事发今日上午，爆炸地点是位于河南省新乡县小冀镇的一处化工厂。
The Beijing News reporter learned that the chemical plant which exploded was Henan Xinxiang Liutong Industrial Co., Ltd.	新京报记者了解到，事发化工厂为河南省新乡六通实业有限公司。
Public information revealed that the aforesaid enterprise was incorporated in Feburayr 2002, and its scope of business included the manufacture of chemicals.	公开资料显示，上述企业成立于2002年2月，经营范围中包括化工产品制造。
This afternoon, Xinxiang County Party Committee Propaganda Department responded to the incident. The explosion occurred at 7.50am. The fire is now effectively under control. One person was slightly injured. The cause of the explosion is still under investigation.	今日下午，新乡县委宣传部对此回应称，爆炸发生在上午7点50分，目前火情已得到有效控制，有1人受轻伤。事发原因正在调查中。
A Beijing News reporter noticed that in 2015, the chemical plant in question was exposed by the media including Henan TV Station for contamination in violation of the law.	新京报记者注意到，早在2015年，涉事化工厂就因违规排污，被包括河南电视台在内的媒体曝光。
That day, 85-year-old Yoji Yamada, the original director of “What a Wonderful Family!” flew to Beijing to visit the set personally.	当日原作《家族之苦》导演，85岁高龄的山田洋次不辞辛劳飞临北京，亲临片场探班。
News published by the CSRC on February 10, 2017 stated that the IPO applications of 12 enterprises were approved according to statutory procedures. The aforementioned enterprises and their respective underwriters were requested to confirm the timing of the issuance with the Shanghai and Shenzhen stock exchanges separately, as well as to publish their listing prospectuses.	证监会2017年2月10日发布消息称，当日按照法定程序核准了12家企业的首发申请，并要求上述企业及其承销商将分别与沪深交易所协商确定发行日程，并陆续刊登招股文件。
Beijing Business Today reporters found Guangzhou Shangpin Home Collection Co., Ltd. (hereinafter referred to as Shangpin Home Collection), which was targeted for a listing on the Small and Medium Enterprise Board of the Shenzhen Stock Exchange, to be among the 12.	北京商报记者发现，瞄准深交所中小板的广东尚品宅配家居股份有限公司(以下简称尚品宅配)位列其中。
According to the latest published prospectus of Shangpin Home Collection, the company, incorporated in 2004, is registered in Guangzhou, and is primarily engaged in the manufacture and sale of personalized and customized panel furniture for an entire home. It also provides design software, designs and research and development of a full range of informatization solutions, as well as technical services to enterprises in the home furnishing industry.	根据尚品宅配最新公布的招股书，该公司成立于2004年，注册地为广州市，主要从事全屋板式家具个性化定制生产、销售及配套家居产品的销售，并向家居行业企业提供设计软件及信息化整体解决方案的设计、研发和技术服务。
On December 26, reporters learned from the municipal environmental protection bureau that Lu’an City successfully declared a total of 98 national and provincial environmental protection projects of various categories, and received special environmental protection funds worth a total of RMB145.26 million.	12月26日，记者从市环保局了解到，2012年六安市共成功申报国家和省各类环保项目98个，争取环保专项资金共计14526万元。
In particular, 55 were national-level environmental protection projects, for which special national environmental protection funds of RMB132.46 million were received; 43 were provincial-level environmental protection projects for which special provincial environmental funds of RMB12.8 million were received.	其中，国家级环保项目55个，争取国家环保专项资金13246万元；省级环保项目43个，争取省级环保专项资金1280万元。
