ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
松山の使用用具は、インナーフォースレイヤーALC（FL）にフォア：ディグニクス05（特厚 ） 、 バック：ディグニクス80（特厚 ） 。	The goods used by Matsuyama are Inner force layer ALC (FL) as well as fore: Dignics05 (extra thick) and back: Dignics80 (extra thick).
台から離れて中後陣でのラリー戦を得意とする松山。	Matsuyama's strength is at rallying in the middle and behind away from the table.
以前はテナジーを使用していたが、打球時の球持ちを重視し攻撃的なプレーを可能としたディグニクスが登場してからラバーを変更した。	He used to use Tenergy, but has since switched his rubber after the arrival of Dignics, which allows aggressive plays that focuses on ball holding time when hitting.
また、松山のこだわりの愛用品は、試合中着用するリストバンドだ。	In addition, Matsuyama's favorite item is the wristbands he wears during games.
「以前、ワールドツアー時にバックが大振りになってしまったときがありました。その際にリストバンドを付けると、手首が固定されて曲がりづらくなるので、コンパクトに打てるなと感じました。そのため、試合の時には手首にテーピングを巻き、リストバンドもして全然曲がらないようにしています。リストバンドはちょっと気持ちの部分もありますけど（笑 ） 」 とコメント。	He says, "In the past during the world tour, there was a situation where I over-swung the back. When I wore a wristband when that happened, I felt I could hit more compactly because my wrist were anchored and was hard to bend. At games, I tape my wrist, and wear my wristband so it doesn't bend at all. Although the wristband may just be an emotional anchor, lol”
鋭い両ハンドドライブでのラリーで勝利を積み重ねる優勝請負人・松山。	Matsuyama, the sweeping victor who wins with sharp rallies from double hand drives.
Tリーグ2ndシーズンでの爆発力あるプレーに注目だ。	Watch the explosive play in the 2nd season of T league.
アラバマ州の元議員　ジャック エドワーズ氏死去　９１才	Former Alabama congressman Jack Edwards dies at 91
ディープサウスで共和党員が躍進した際の第一波で、連邦議員を１０期務めて引退したアラバマ州選出のジャック エドワーズ氏が金曜日に亡くなった。	Retired 10-term U.S. Rep. Jack Edwards of Alabama, who was in the first wave of Deep South Republicans, died Friday.
エドワード氏はすい臓がんとの闘病の末、フェアホープの自宅で亡くなったと遺族が代理人を通して発表した。	His family said through a spokesman that Edwards died at his home in Fairhope after a battle with pancreatic cancer.
ディープサウスで共和党が勢いを増す中、アラバマ州の多くの共和党員が連邦議員に選出されたが、エドワーズ氏はその第一波の一人として１９６５年に米下院議員に初当選した。	Edwards was first elected to the U.S. House in 1965 as part of the first wave of Alabama Republicans elected to Congress as the party gained traction in the Deep South.
エドワーズ氏は、連邦議会の議員を１０期務めた。	He served 10 terms in Congress.
遺族の出した発表によると、エドワーズ氏は最近、どんな世界をひ孫の世代に遺したいかと問われ、礼節に立ち返ることを望むと答えたという。	In a statement released by his family, they said Edwards described his hopes for a return to civility when recently asked what kind of world he would like to leave his great grandchildren.
家族によると「私は、日常の会話や祖国の問題を解決する努力に礼節を取り戻した国でひ孫たちが育ってほしい」と語ったという。	"My hope is that my great grandchildren will grow up in a country where civility will have been returned to common discourse and to the efforts to solve the country's problems," Edwards said according to the family statement.
ケイ アイビイアラバマ州知事は、エドワーズ氏は最高の品位でもって州や国家に奉仕したと語った。	Alabama Gov. Kay Ivey said Edwards served his state and nation with the highest degree of integrity.
また、弔意を表してアラバマ州議事堂で半旗を掲げる予定だと話した。	The governor said flags at the Alabama Capitol will be placed at half-staff in his honor.
「エドワーズ氏は、真の公僕であり、アラバマ州にとって最大の政治家だった。	"He was the epitome of a true public servant and was the ultimate statesman for Alabama.
わが州は最も優れた政治家の一人を失った。」と、アイビイ氏は声明で語った。	Our state has lost one of our finest," Ivey said in a statement.
ヘリ事故謝罪前夜に「焼き鳥美味しいなぁ～」 防衛副大臣が投稿｜行政・社会｜佐賀新聞ニュース｜佐賀新聞LiVE	Deputy Minister of Defense tweets "This yakitori is delicious" evening before apology for helicopter accident | Politics and Society | Saga Shimbun News | Saga Shimbun LiVE
山本防衛副大臣の２６日夜のツイッターへの投稿。	The Tweet posted to Twitter by Deputy Minister Yamamoto on the evening of the 26th.
２７日午前１１時半ごろに削除した	It was deleted around 11:30am the following morning.
神埼市千代田町で昨年２月、陸上自衛隊の戦闘ヘリコプターが住宅に墜落した事故の最終報告で、原因説明と謝罪のために佐賀県入りしていた山本朋広防衛副大臣が２６日夜、県内の焼き鳥店で飲食し「美味しいなぁ～」などとツイッターに投稿した。	Deputy Defense Minister Yamamoto Tomohiro , in Saga Prefecture to present a final report to explain the cause and give an apology for the accident that occurred last February in which a JSDF combat helicopter crashed into a house in Chiyoda-cho, Kanzaki, posted "This yakitori is delicious" to Twitter on the evening of the 26th after eating and drinking at a yakitori restaurant in the prefecture.
２７日に知事と面会後、投稿を削除した。	After meeting with the governor on the 27th, the post was deleted.
山本氏は２６日午後１１時半すぎ「今夜は、出張で佐賀県に参りました ！ 」とツイート。	Yamamoto Tweeted "I've come to Saga Prefecture on a business trip tonight!" after 11:30pm on the 26th.
食事に同席した防衛大臣政務官の岩田和親衆院議員の写真とともに「美味しいなぁ～。皆様も佐賀に来県の際は、あたり鶏を ！ 」と書き込んだ。	He also wrote, "This yakitori is delicious. If you come to Saga, make sure you try Atari chicken!" together with a photo of Iwata Kazuchika, the Parliamentary Vice-Minister of Defense, who was also present at the meal.
山本氏はその後 、 「 ありた鶏」の間違いだったとツイッターで補足した。	Yamamoto later corrected his Tweet to "Arita chicken".
河野太郎防衛相は２７日午前の閣議後会見で投稿への見解を問われ「ツイートを見てみます」と答えた。	When asked his opinion on it at a press conference after the cabinet meeting on the morning of the 27th, Defense Minister Kono Taro answered that he would "take a look at the Tweet".
県と関係３市町への説明を終えた２７日午後、報道陣の取材に応じた山本氏は投稿内容について「私の発信で不快に思われた方がいらっしゃれば、それは私の本意ではない」と述べた。	On the afternoon of the 27th, after the explanation about the accident to the prefecture and the three municipalities concerned was over, Yamamoto stated in an interview to the press regarding the content of his Tweet, "If there was anyone that was offended by what I posted, that was not my intention."
自らの判断で削除したことを強調し、ツイートが不適切かどうかは明言を避けた。	He stressed that he had deleted it of his own volition, but declined to state whether or not he thought the Tweet was inappropriate.
山本氏から２７日に説明を受けた自治体の職員の一人は「何を考えているんですかね。よく（真意が）分からない」と首をかしげた。	One of the local government officials who had been briefed by Yamamoto on the 27th said, "What was he thinking about? I don't really get (what he intended)," shaking his head.
山本氏は比例南関東選出で衆院当選４回。	Yamamoto has been elected to the lower house four times in the Southern Kanto proportional representation elections.
今月の内閣改造で現職に就いた。	He assumed his current office this month after a cabinet reshuffle.
事故では墜落現場の住宅の女児がけがをし、ヘリに搭乗していた隊員２人が死亡した。	In the helicopter accident, a girl in the house at the crash site was injured, and both pilots were killed.
ミシェル・オバマ、インスタグラムでメーガン・マークルを「インスピレーション」と称賛	Michelle Obama Calls Meghan Markle 'An Inspiration' In Adoring Instagram
ミシェル・オバマは、木曜日、好意的なインスタグラムでメーガン・マークルを高く評価し、サセックス公爵夫人を「型を破り、世界をより良くする思慮深いリーダー」と呼んだ。	Michelle Obama gave high praise to Meghan Markle in a sweet Instagram on Thursday, calling the Duchess of Sussex "a thoughtful leader who is breaking the mold and making our world better for it."
公爵夫人とハリー王子は、息子のアーチー・ハリソン・マウントバッテン＝ウィンザーとともに10日間の南アフリカ公式訪問中で、今週これまでに若者のレセプションに出席したり、オバマ財団の幹部らと面会した。	The duchess and Prince Harry, now on a 10-day royal tour of South Africa with their baby son Archie Harrison Mountbatten-Windsor, attended a youth reception earlier this week and met Obama Foundation leaders.
元大統領夫人は、「古い慣習を破り、世界をより良くしてくれる思慮深いリーダー、私の友人であるサセックス公爵妃殿下 @sussexroyal、ありがとう。」と非常に好意的な投稿をした。	"Thank you to my friend, Her Royal Highness The Duchess of Sussex @sussexroyal, a thoughtful leader who is breaking the mold and making our world better for it," the former first lady wrote in her glowing post.
オバマ夫人は財団幹部と一緒にポーズをとるメーガン妃の写真を掲載し「オバマ財団幹部との面談にしても、相応の教育を求める世界中の少女たちの支援にしても、多くの人たちに刺激を与えています。」と付け加えた。	"Whether meeting with our @ObamaFoundation Leaders or helping girls around the world seek the education they deserve, she is an inspiration to so many," Obama added, alongside a photo of a smiling Meghan posing with foundation leaders.
元「スーツ」の女優だったメーガン妃は、英国版ヴォーグ誌の9月号でゲスト編集者を務め、オバマ夫人にインタビューした。	Meghan interviewed Obama for the September issue of British Vogue, which the former "Suits" actress guest-edited.
その率直な会話の中で、元大統領夫人は、母性と母性がいかに自分を変えたか回顧した。	In their candid chat, the former first lady reflected on motherhood and how it's changed her.
インタビューの中で、オバマ夫人は「母であることは、手放すことの上級クラスにいるようなもの」と語った。	"Being a mother has been a masterclass in letting go," Obama said in the interview.
私の仕事は、ほとんどいつも、子供達がなりたい自分を見つけ、成長するために適度な距離をおいてあげることだと母として学んだ。	Motherhood has taught me that, most of the time, my job is to give them the space to explore and develop into the people they want to be.
親としての子供に対する理想や自分の子供時代の憧れではなく、本質的に彼女たちが自分は誰なのか見つけるために。	Not who I want them to be or who I wish I was at that age, but who they are, deep inside.
世界でスポットライトを浴びるプレッシャーを実際に知るオバマ夫人は、グッド・ハウスキーピング誌のインタービューで、公爵夫人に少しずつアドバイスした。	Obama, who knows first-hand the pressure of being under a global spotlight, doled out some advice to the duchess in an interview with Good Housekeeping.
「時々、自分自身や周りの人たちからのプレッシャーが、あまりにも大きく感じられるときもある」	"The pressure you feel ― from yourself and from others ― can sometimes feel like a lot," she said.
だから、時間をかけて、何をするにも急がないというのが、私の一番大きなアドバイスだ。	So my biggest piece of advice would be to take some time and don't be in a hurry to do anything.
ホワイトハウスでの最初の数ヶ月は、意欲的に働き始めるかわりに、娘たちが順調に学校生活始めて、新しい友人ができるように気を配った。	I spent the first few months in the White House mainly worrying about my daughters, making sure they were off to a good start at school and making new friends before I launched into any more ambitious work.
それでもいいのだ、むしろ良いことだと思う、と述べた。	I think it's okay - it's good, even - to do that.
ジャニーズJr . ・ 美 少年、ガルアワ降臨で嵐＆SMAPの楽曲を披露！	Johnny's Jr. unit "Bi Shounen" show up at the Girls Award with performances of Arashi and Smap songs!
キラキラ"美"ステージでファン魅了＜GirlsAward＞（ザテレビジョン ） - Yahoo!ニュース	Glitter "Bi" stage attracts fans <Girls Award> (The Television) - Yahoo! News
ジャニーズJr.の6人組グループ・美 少年が、千葉・幕張メッセで開催中の「Rakuten GirlsAward 2019 AUTUMN/WINTER」ライブパフォーマンスを披露した。	Johnny's Jr.'s 6 member group "Bi Shounen" performed live at the "Rakuten Girls Award 2019 AUTUMN/WINTER" at Makuhari Messe in Chiba.
【写真を見る】	[see picture]
藤井直樹がアイドルスマイルで会場を魅了	Fujii Naoki captivates audience with his idol smile
同イベントは、2010年の初回以降毎年開催されている日本最大級のファッション＆音楽イベント。	The event is Japan's largest fashion and music event and has been held every year since 2010.
さまざまなモデル＆アーティストが出演し、ファッションランウェイやライブパフォーマンスで会場を盛り上げている。	Various models and artists have made appearances and the event has excited attendees with fashion runways and live performances.
全員2000年代生まれのフレッシュなメンバーが揃う美 少年がシークレットアーティストとして紹介されると、会場内に黄色い歓声がこだまする。	When Bi Shounen, whose youthful members were all born in the 2000s, were announced as the secret artist, the venue rang with cheers.
那須雄登、佐藤龍我、金指一世、藤井直樹、浮所飛貴、岩崎大昇 (※ 「崎」は正しくは「立さき 」) の6人はステージに降臨すると、ステージ中央のランウェイを堂々と進みファンのもとへ。	The six members, Nasu Yuto, Sato Ryoga, Kanasashi Issei, Fujii Naoki, Ukisho Hidaka and Iwasaki Taisho (*the "Saki" kanji should be different) came down to the stage and proceeded along the runway in the middle of the stage to the fans.
歓声が鳴りやまない中「FIRE STORM」からスタート。	With the cheers still not stopping they began with "Fire Storm".
続く先輩グループのカバーメドレー「ジャニーズメドレー」では、嵐の「A・RA・SHI」やSMAPの「世界に一つだけの花」など人気曲で会場を盛り上げる。	Next was a cover of senior groups' medley of songs "Johnny's Medley", with popular songs like Arashi's "A-ra-shi" and SMAP's "Sekai ni Hitsotdu Dake no Hana" which livened up the venue.
最後は美 少年のオリジナル曲「Cosmic Melody」で締めくくり、6人の"ザ・アイドル"な王道キラキラステージでパフォーマンスを終えた。	At the end they closed with Bi Shounen's original song "Cosmic Melody", and concluded the 6 member's "king of idols"-like sparkling stage performance.
トランプホテルオーナー適性に苦情も、酒類販売許可証は保持	Trump hotel keeps liquor license despite character complaint
ワシントン（AP通信）−ワシントン州のアルコール飲料監理委員会は、オーナーの適性に疑問符が付くことからワシントンが地元のトランプインターナショナルホテルの酒類販売許可証を見直すべき、という訴えを退けた。	WASHINGTON (AP) - The Washington Alcoholic Beverage Control Board has dismissed a request to review whether the local Trump International Hotel should lose its liquor license over its owner's character.
委員会は水曜日、議員三名、元裁判官二名、ユダヤ教指導者二名による苦情申し立ては申立人のほとんどがワシントン州非在住もしくは同州に固定資産を持たないことから、訴える資格を欠くとした。	The agency ruled Wednesday that the complaint by three ministers, two retired judges and two rabbis lacked standing because most of them didn't live in or own property in the District.
ワシントンポストによると、酒類販売許可証の取得には申請者の「適性」が必要であるとする州法に基づき、同ホテルのアルコール提供権の取り消しを巡る訴えはこれで二度目となる。	The Washington Post reports this is the second time the complainants pushed for the revocation of the hotel's liquor license over a District law that says license applicants must be of "good character."
昨年の夏に提出された初回の訴えでは、トランプ大統領の暴行容疑と繰り返される欺瞞を挙げ、州法に違反しているとした。	The initial complaint filed last summer says President Donald Trump violates that law, citing assault allegations and patterns of deception.
その訴えは、許可証がすでに認められていることから退けられた。	It was killed because the license had already been granted.
許可証の更新に合わせこの二度目の訴えが出された形となる。	The second complaint was prompted by the license's renewal.
ベントレーが飼育する蜜蜂「フライングBees」が集めたハチミツが初収穫！	The first harvest of honey from the "Flying Bees", honeybees kept by Bentley
フライングBのお膝元で飼育されるフライングBeesが集めたハチミツのお味はいかに	What does the honey collected by the bees raised under the wing of the Flying B taste like?
2019年5月、英国ベントレーのクルー工場敷地内で、定置養蜂が開始され、同年9月に初めてハチミツが収穫されました。	Permanent beekeeping began on the site of the Bentley factory in Crewe in May 2019, and honey was harvested for the first time in September of that year.
クルー工場で働くスタッフに負けず劣らず働き者の蜜蜂たちは、たったふたつの巣箱から100瓶以上のハチミツを集めました。	The bees are just as hardworking as the staff working at the Crewe factory, producing enough honey to fill over 100 jars between just two hives.
クルマを組み立てる工場の敷地で、どうしてベントレーは養蜂をおこなうようになったのでしょうか。	But why did Bentley start keeping bees on the same site as the factory that assembles its cars?
これは味見したい！	You'll want to try this!
ベントレーが手掛けるハチミツはこちら（11枚）	Click here to see Bentley's honey (11 photos)
ベントレーの製造部門担当役員であるピーター・ボッシュは次のようにコメントしています。	Bentley's member of the board for manufacturing, Peter Bosch, explains.
「地域の生物多様性保全に貢献することを目的とし、今年初め、クルー工場の広大な敷地内に初めて巣箱を設置いたしました。	"In order to do our part in conserving the biodiversity of the local area, we installed two beehives on the expansive grounds of the Crewe factory for the first time at the beginning of this year.
敷地内に植えた野花や周辺の野山から、蜜蜂たちがさまざまな花の蜜を集めてきている様子を養蜂家たちは見守ってきました。	The beekeepers have watched over the bees as they gathered nectar from the wildflowers growing onsite and in the nearby fields and hills.
この場所が養蜂に適していることが分かりましたし、一年目でこれほどの収穫量があるというのはじつに素晴らしいことです。	We realized that this location is ideal for beekeeping, and it's wonderful to have ended up with such a large amount of honey in the first year.
ベントレーは、クルー工場および当社事業を通し、サステナブルな高級自動車メーカーのトップになるべく幅広い活動を進めており、蜜蜂の飼育もその一環です。	Through our efforts at the Crewe factory and in our other business activities, Bentley is committed to a wide range of activities as the lead sustainable car manufacturer, and beekeeping is just one example.
スタッフたちも積極的に協力してくれています。	The staff are also actively getting involved.
無事に初収穫を迎えられたことは大変喜ばしく、来年はより多くの巣箱を設置し、ベントレー産ハチミツの収穫量を増やす計画です。	We are delighted to have had a successful first harvest, and plan to install more hives next year, so that we can increase the yield of Bentley honey.
小さな一歩を踏み出すことが、地域の生物多様性の保全につながります。	This is a first small step towards conserving the biodiversity of the local area.
私どもは自らの役割を果たすべく、今後もさまざまな取り組みを実施して参ります」 2019年5月に12万匹の蜜蜂「フライングBees」の養蜂がスタートしました。	We will also continue with various initiatives appropriate for our role." Bentley started its beekeeping with 120,000 "Flying Bees" in May 2019.
そしてひと夏を過ぎた同年9月に、巣箱から巣枠を取り出す作業が完了し、巣枠を遠心分離機にかけ、滴り落ちたハチミツを濾過したあと、瓶詰めされました。	One summer later, in September, the frames were removed from the hive and put in a centrifuge, and the resulting honey was then filtered and jarred.
ハチミツの瓶とパッケージもベントレーらしいこだわりを見ることができます。	The honey jars and packaging also exhibit Bentley's characteristic commitment to detail.
ラベルのデザインは、ベントレーのインテリアを担当するデザイナー、ルイーズ・マッカラムが担当しました。	The label was designed by Bentley's interior designer, Louise McCallum.
瓶詰めされたハチミツは、スタッフに配られただけでなく、クルー工場を訪問する大切なカスタマーや客人への贈り物にされるそうです。	The jars of honey are not only shared with employees, but are also given as gifts to important guests and customers when they visit the Crewe factory.
英国はティータイムを大切にする国。	England is a country that places great importance on the custom of afternoon tea.
ハチミツとの相性のよいフェンネルティーはもちろんのこと、スコーンなどに「フライングBees」のハチミツを合わせて、午後ティーを楽しみたいものです。	It seems like it would be nice to enjoy some "Flying Bees" honey with a scone and a cup of fennel tea that goes well with honey.
不祥事続きのクリーブランド警察、不正を暴く報告書でイギリス最悪とされるーザ・サン紙	Scandal-hit Cleveland Police force branded the worst in Britain in damning report - The Sun
不祥事続きの警察が監察官からイギリスで最悪という烙印を押された。	A SCANDAL-HIT police force has been branded Britain's worst by inspectors.
クリーブランド警察は不正をあばく報告書で、あらゆる分野において不適切と格付けされた。	Cleveland Police was rated as inadequate in all areas in a damning report.
クリーブランド警察では「重篤な悪化」が続いている、と警察監督局のフィル ゴームリーは言う。	HM's Inspectorate of Constabulary Phil Gormley says Cleveland Police force has seen 'significant deterioration'
この警察では６年で警察署長が５人交代しており、今新たに解体を求める声に直面している。	The force, which has had five chief constables in six years, is now facing fresh calls for it to be disbanded.
報告書によると、犯罪を阻止し、容疑者を逮捕し、社会的弱者を守る努力を怠っていた。	The report found it was failing in efforts to prevent crime, arrest suspects and protect the vulnerable.
警察監督局のフィル ゴームリーは、「われわれが最後に調査したときからずっと重大な悪化が続いている」と述べた。	HM's Inspectorate of Constabulary Phil Gormley said: "There has been a significant deterioration since our last inspection."
警察署長のマイク ヴィールは１月、就任一年足らずで辞任したが、自らの行為について「深刻な」、しかし未公表の複数の容疑の取り調べを受けていた。	Chief Constable Mike Veale quit in January after less than a year while facing an investigation into "serious" but undisclosed allegations about his behaviour.
副所長のエイドリアン ロバーツは、甚だしい違法行為の容疑で逮捕されたのち停職処分となった。	Assistant Chief Constable Adrian Roberts is suspended after being arrested on suspicion of gross misconduct.
警部補のサイモン ハーウッドは昨年、性的行為をするよう同僚に仕向けたという理由で違法行為調査委員会に出頭した。	Last year Det Insp Simon Hurwood appeared before a misconduct panel for grooming colleagues for sex.
彼は警察を辞職した。	He quit the force.
保守党のティーズバレー市長ベン ハウチンは述べた：「これは警察が崩壊していることが正式に検証されたということだ。	Tees Valley's Tory Mayor Ben Houchen said: "This is official validation that the force is broken.
今こそ内務省が介入するときだ。」	It's now time for the Home Office to intervene."
警察署長のリチャード ルイスは「改善はされてきたが、改革を進めることに対して全責任は私にある」と語った。	Chief Constable Richard Lewis said: "Improvements have been made and I take full responsibility for driving through change."
ナンシー・ペロシ：ウィリアム・バーは「犯罪者となった」、弾劾審議は決着をつける必要あり	Nancy Pelosi: William Barr has 'gone rogue' and impeachment investigation needs to take its course
これからどうなるのか誰にもわからない。	You never know where we're going next.
現在、われわれは隠蔽に隠蔽を重ねた事件に関わっていると考えており、調査にある程度時間がかかる可能性がある」とペロシ氏はCNNの取材に対し連邦議会で語った。	Now, I think we're getting involved in the coverup of the coverup, and that may be something that will take some time to investigate," Pelosi said in an interview with CNN on Capitol Hill.
「事実関係と事実発見にかかる時間に基づいて、やり始めた仕事をやるつもりだ」とペロシ氏は述べた。	"They will do the work that they're set out to do, following the facts and the time that it takes to find the facts," she said.
今週発表されたホワイトハウスの記録で、トランプ氏がウクライナのウォロディミル・ゼレンスキー大統領に対し、2020年米大統領選の候補者ジョー・バイデン前副大統領とその息子の捜査を依頼したことがわかった。	A White House transcript released this week showed that Trump asked Ukrainian President Volodymyr Zelensky to investigate former Vice President Joe Biden, a 2020 candidate, and Biden's son.
通話記録によると、その件に関しトランプ氏はまた、バー氏および自身の個人顧問弁護士ルディ・ジュリアーニに協力するようゼレンスキーに依頼したことがわかった。	Trump also asked Zelensky to work with Barr and his personal lawyer, Rudy Giuliani on the issue, the call transcript revealed.
トランプ氏は不正を否定している。	Trump has denied he did anything improper.
CNNは、正式な照会の一週間以上も前に、ウクライナを巻き込んだトランプの行為に対する内部告発に最初に気づいたのは司法省の国家安全保障担当の弁護士だった、と木曜に報道した。	CNN reported on Thursday that Justice Department national security lawyers were first alerted to the whistleblower complaint regarding Trump's conduct involving Ukraine more than a week before the formal referral.
情報機関関係者らからの照会として告発を受けた司法省は、トランプ氏の電話会談は政治資金違反捜査には及ばないと判断した。	After receiving the complaint as a referral from the intelligence community officials, the DOJ determined that Trump's phone call did not warrant a campaign finance criminal investigation.
バー氏が証言するべきかという問いに対し、ペロシ氏は諜報特別委員会が誰を証人喚問するか決定すると金曜日に述べた。	Asked if Barr should testify, Pelosi said Friday the Intelligence Committee will decide who to call as witnesses.
しかし、ペロシ氏は、バー氏は「犯罪者になった」と思うと付け加えた。	But she added that she believes Barr "has gone rogue."
確かに、バーはかなり前からそうだった。	He has for a long time now.
「終始バーの名前があげられていたので」とペロシ氏は述べ、ウクライナ大統領との７月の電話会談に関してトランプ氏がバー司法長官の名前を挙げたことに触れた。	"Since (Barr) was mentioned in all of this," Pelosi said, referring to Trump's mention of his attorney general on the July call with Ukraine's leader.
この告発の始末に関してバー氏が判断を迫られるだろうことは興味深い。	It's curious that he would be making decisions about how the complaint would be handled.
ペロシ氏は、情報元となった内部告発者について、トランプ氏が木曜日に告発者をスパイとして攻撃し、昔はスパイに対する扱いは異なっていたとほのめかしたことを受け「非常に懸念している」とした。	Pelosi said she's "very worried" about the whistleblower's sources, whom Trump attacked on Thursday as spies and suggested that in the old days spies were dealt with differently.
大統領の発言はあまりにも無責任であり、危険だと思う。	I think what the President said goes beyond irresponsible, it's dangerous.
ペロシ氏は、内部告発者は米国政府内の不正の暴露、公表に重要な役割を果たしている」とし、さらに、「内部告発者に情報を提供した可能性のある人物について、大統領がとんでもないことを言ったのは、政府内のまとまりを著しく損なうものである」と述べた。	Our whistleblowers have an important role to play in unfolding -- revealing wrongdoing in our government," Pelosi said, adding, "For the President to say what he said about those who may have supplied information to the whistleblower seriously undermines integrity in government."
ペロシ氏は、火曜、政治的利益のために外国首脳に圧力をかけようとした疑惑を巡り、トランプ氏に対して正式に弾劾審議を行うと発表し、歴史的な一歩を記した。	On Tuesday, Pelosi took the historic step of announcing a formal impeachment inquiry over the allegations that he attempted to pressure a foreign leader for political gain.
通話内容は木曜に公開された告発文の中に含まれており、その中で内部告発者は、トランプ氏が次回の2020年大統領選挙でウクライナの「介入を求める」ために職権を濫用したと主張している。	The phone call was included in a complaint publicly released Thursday, in which a whistleblower alleged Trump abused his powers to "solicit interference" from Ukraine in the upcoming 2020 election.
また、内部告発者は、ホワイトハウスの顧問弁護士らが通話記録を閣僚級用のコンピューターシステムから削除し、特別機密情報用のシステムに移し替えるよう、関係者に指示したとも申し立てた。	The whistleblower also alleged that White House lawyers directed officials to remove the transcript of the call from a computer system that stores them for Cabinet-level officials and instead put the transcript in a system for especially sensitive information.
クリスタル パレスのフォワード　クリスチャン ベンテケ、スピード違反で運転禁止処分	Christian Benteke: Crystal Palace striker faces driving ban for speeding
二か月で二度のスピード違反で検挙されたプレミアリーグのスター、クリスチャン ベンテケは運転禁止処分を受けそうだ。	Premier League star Christian Benteke is facing a possible driving ban after he was caught speeding twice in two months.
クリスタルパレスの２８才のフォワードは、１月２０日、自分のベントレーを運転し、ロンドン南西部リッチモンドのA3の制限速度時速５０マイルのところを時速８０マイルで走行したことを認めた。	The Crystal Palace striker, 28, has admitted driving his Bentley at 80mph in a 50mph zone on the A3 in Richmond, south west London, on January 20.
このベルギー人はその後３月には、ロンドン南西部パトニーで、制限速度時速４０マイルの倍以上の時速８９マイルで走行しているところをスピード違反取締カメラが撮影した。	The Belgian was then flashed by speed cameras at 89mph, more than double the 40mph limit, in Putney, south west London, in March.
サリー州キングストン ヒルに住むベンテケは、今朝はラベンダー ヒルの治安判事裁判所に出廷する必要はない。	Benteke, of Kingston Hill, Surrey, is not required to be present at Lavender Hill Magistrates' Court this morning.
７月初めに行われた治安判事１人が審理して軽犯罪の判決を言い渡す単一答弁手続きのもとで、ベンテケはこの二つの違反について有罪を認めた。	He pleaded guilty to both offences at the start of July under the single justice procedure, where minor offences are decided by a magistrate sitting alone.
台湾の高校生、9.2％が「経験あり」 避妊しない割合増加＝保健当局調べ（中央社フォーカス台湾 ） - Yahoo!ニュース	9.2% of Taiwanese high school students say that they are "experienced" Increase in not using contraception= Health authority study (Chuosha Focus Taiwan)- Yahoo!news
（台北 27日 中央社）衛生福利部（保健省）国民健康署は9月26日の「世界避妊デー」に合わせ、台湾の高校生の性交経験などに関する調査結果を同日に発表した。	(Chuosha, Taipei 27th) The Ministry of Health and Welfare (Ministry of Public Health) National Health Office released a survey on Taiwanese teenagers' sexual intercourse experiences on September 26, to coincide with "World Contraception Day"
これによると、経験があると回答した生徒は9.2 ％ 。	According to the survey, 9.2% of the students answered that they've had sexual experience.
このうち約5人に1人が避妊をしていないことも明らかになった。	They also found that about one in five students were not using contraception.
調査は高校や専門高校、高等専門学校に在籍する生徒を対象に2017年に実施された。	The survey was conducted in 2017, on students enrolled in high school, vocational schools and colleges of technology.
前回（15年）の調査結果と比較すると、性交経験がある生徒の割合は前回の11.1％から若干減少。	Compared to the previous survey (2015), the students that have had sexual intercourse has decreased slightly from the previous result of 11.1%.
その一方で、15～17歳の男女22.6％が直近の性行為で避妊をしなかったと回答しており、前回の19.2％を上回った。	On the other hand, 22.6% of 15-17 years old males and females replied that they did not use contraception during their most recent sexual experience, which is an increase from the previous 19.2%.
内訳は男子28.8 ％ （ 前回22.6 ％ ） 、女子16.2 ％ （ 同14.5 ％ ） で、いずれも増加傾向にあることが分かる。	The breakdown is male 28.8% (previous 22.6%) and female 16.2% (previous 14.5%) and it shows an increasing trend.
同署は、現代の青少年はインターネットで情報を得る機会が多くなっており、誤った情報に接して考え方が偏ってしまいやすいと指摘。	The authority pointed out that modern teens have more opportunities to acquire information on the internet and are susceptible to encountering incorrect information that may bias their understanding.
避妊を怠ると妊娠だけでなく、感染症などのリスクも増加するとして、正しい知識を持つよう呼び掛けている。	They are calling to acquire correct understanding as neglect in contraception may not only lead to pregnancy, but also to increased risk of infection.
（張茗喧／編集：塚越西穂）	(Ming Zhang/ Editor: Nishiho Tsukagoshi)
ガーナ：コフィ・マヌ氏、審査委員会構成に懸念	Ghana: Kofi Manu Concerned Over Structure of Vetting Committee
セコンディ・ハサッカスのフットボールアドミニストレーター兼役員であるコフィ・マヌ氏は、次回のガーナ・サッカー協会（GFA)選挙の審査委員会の構成について懸念を表明している。	Mr. Kofi Manu, a football administrator and an official of Sekondi Hasaacas has raised concerns over the composition of the Vetting Committee for the upcoming Ghana Football Association (GFA) elections.
フランク・デイビイズ委員長を含めることを疑問視した上で、そのことに対して不満を表明した。	He questioned the inclusion of the Committee's Chairman, Mr. Frank Davies, adding that he was not happy with his inclusion.
マヌ氏はGNAスポーツとの取材において、委員長は審査過程結果に利害関係があり、会長を含めるのは公平か疑問だと述べた。	Mr. Manu in an interview with the GNA Sport said, he had doubts the Chairman of the Committee would be fair since he had interest in the outcome of the vetting process.
